Macro results;in %
Carbon Tax rate;0 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);3.0819667
Households consumption in GDP;2.0208687
Public consumption in GDP;0.8605534
Investment in GDP;0.6713687
Exports in GDP;0.6800722
Imports in GDP;1.1508963
Imports/Domestic production ratio;0.0469553
Imports of Non Energy goods in volume;4.7009128
Exports of Non Energy goods in volume;2.7773033
Total Employment;0.5569931
Unemployment rate (% points);-0.0038968
Net-of-tax wages;4.4395122
Labour Intensity (Laspeyres);-2.3849092
Labour tax rate (% points);0
Energy Input Price (Laspeyres);9.6396146
Energy Intensity (Laspeyres);2.0273076
Energy cost share for non-energetic sector;4.7348667
Production Price (Laspeyres);1.8239219
Production Price Energy goods (Laspeyres);5.3095705
Production Price Non Energy goods (Laspeyres);1.7495062
Real Households consumption (Laspeyres);3.7355802
 Energy in Households consumption;0
 Non Energy goods in Households consumption;3.7355802
Public Deficits; 13.642731
Total Emissions;1.4728999
;
Most sensitif import Elasticity for NonEner;1
 Most sensitif export Elasticity for NonEner ;1
 Global mean wage/Unemployment Elasticity;-0.1192022
