alpha;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe
Crude;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coal ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AllFu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;
lambda;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4;-2.4
kappa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;
Units;nan;;;;;;;;;;;;;;
