alpha;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe
Crude;0;0;0;-5;0;0;0;0;0;0;0;0;0;0;0
Natur;-5;0;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5
Coal ;0;0;-5;0;-5;-5;-5;0;-5;-5;0;0;-5;-5;-5
AllFu;0;0;0;0;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5
Elect;-5;-5;-5;-5;0;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5
HeatG;0;0;0;0;0;0;-5;0;-5;0;0;0;-5;-5;-5
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;
lambda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kappa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;
Units;nan;;;;;;;;;;;;;;
