IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;41714.8;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;28
Natur;0.5;0;0.2;238.2;2726.6;1199;5825.9;34.8;272.4;172.6;42.1;23.4;2724.4;204.7;7750.9;Natur;11524.4;0;0;3336.3
Coal ;0;0;2840.4;0;2950.9;173.5;3391.4;0;3;2.2;0;0;518.6;0.2;120.1;Coal ;27.9;0;0;103.6
AllFu;0;0;0;0;1589.7;325.2;1653.8;70.1;636.2;46.3;13756.5;904.1;3263.4;52.9;3447.1;AllFu;29613.3;0;0;16932
Elect;46;2.7;20.4;1236.7;0;1145.4;5707.7;16.6;366.3;228;125.3;768.7;2381.2;275.3;13055.9;Elect;13540.8;0;0;5279.8
HeatG;0;0;0;0;0;0;785.9;0;50.4;0;0;0;160.6;37.9;1042.9;HeatG;1172;0;0;0
Heavy;0;715.6;46.9;925.1;3475.5;59.7;42354.8;2811.5;19064.1;5301.9;158.6;39.8;9848;305.7;68148.7;Heavy;33958.1;20194.9;131.3;92547.5
Build;0;0;0;0;0;0;0;1877.1;0;0;0;0;0;3.1;0;Build;0;0;49656.8;0
Work_;0.5;504.7;3.2;433.8;1362.6;27.9;613.2;15132.8;19799.1;309.7;75.1;18.9;515.2;4668.9;20170.8;Work_;12492.8;0;145393.9;0
Autom;0;0.2;0;1;1;0;5.1;0.3;5;379.7;10.1;2.5;9.6;0.5;285.5;Autom;2550.3;0;583.3;1724.2
Load_;0;87.8;4.9;778.2;426.5;7.3;2685.4;340.3;1469.4;308.7;83169.6;20872.2;1999.3;730.6;231118.2;Load_;4238.8;18430.5;0;8041.5
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;189522.4;0;0;0
Agri_;0;11.1;0.5;42.3;53.9;0.9;2288.4;54.4;619.8;107;14.1;3.6;64082.5;134.8;33132.1;Agri_;114407.9;157.1;1175.5;31312.3
Prope;0;1019;50.3;2376.1;2751.2;56.4;24566.7;14941.9;7408.5;2265.9;10368.2;2602;6752.5;134218.2;742885.2;Prope;2760990.4;197497;109176.3;0
OthSe;76.5;2386.4;109.5;7785.5;12913.6;216.5;61174.2;14366;74744.8;37496.8;18166;4558.9;42271;45308.3;1080121.2;OthSe;570581.3;510896.8;223193.7;316414
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;859.7;33;2967.4;38145.5;42604.8;3249.8;171924.6;51537;221523.2;3022.8;363854.5;184100.7;203026.8;4019925.8;2683165.4;;;;;
M;40883.1;36043.4;7164.6;34145.1;1592.2;0;128163.1;0;0;2535.6;10854.9;5421.7;44571.4;0;339615.6;;;;;
Labour;0.1;3.6;0.4;2.6;79.4;2.2;340.7;182.2;2826.1;78.1;85;94.1;793.2;502.7;21048;;;;;
Capital_consumption;47.2;1773.7;11.1;504.1;8614.1;152.5;8791.5;1669.4;7175.9;3015.4;7778.2;1952;18415;65371.8;213767.7;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 ktoe / ktons;;;;;;;;;;;;;;;;;;;
