Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;57.7
GOS_byAgent;479.4;84.1;187.9;0
NetCompWages_byAgent;0;0;885.6;0
InsuranceContrib_byAgent;0;399.4;0;0
Production_Tax_byAgent;0;60.2;0;0
Energ_Tax_byAgent;0;20.3;0;0
Carbon_Tax_byAgent;0;29.6;0;0
OtherIndirTax_byAgent;0;41.1;0;0
VA_Tax_byAgent;0;165.1;0;0
Property_income;-28.8;-27.5;80.2;-23.9
Unemployment_transfers;0;-49.3;49.3;0
Pensions;0;-351;351;0
Other_social_transfers;0;-122.2;122.2;0
ClimPolicyCompens;0;-29.6;29.6;0
Other_Transfers;-109.9;70.5;30.2;9.2
Income_Tax;0;215.2;-215.2;0
Corporate_Tax;-54.1;54.1;0;0
Other_Direct_Tax;0;24.3;-24.3;0
Disposable_Income;286.6;584.3;1496.5;42.9
FC_byAgent;0;608.5;1288.1;0
GFCF_byAgent;300;82.9;130.9;0
Tot_FC_byAgent;300;691.4;1419;0
NetLending;-13.4;-107.1;77.5;42.9
NetFinancialDebt;2133.1;1720.4;-3588;-265.6
;;;;
Units;1000000 k€;;;
