IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;0;0;0;15.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.7;
Natur;0;0;0;0.1;1.6;0.7;3.5;0;0.2;0.1;0;0;1.9;0.1;5.3;12.6;0;0;0.7;27;
Coal ;0;0;2.5;0;2.1;0.1;3.3;0;0;0;0;0;0.4;0;0.1;0;0;0;0.1;8.6;
AllFu;0;0;0;0;1.2;0.3;1.8;0.1;0.9;0.1;18.9;1.2;3.6;0.1;4.3;51.8;0;0;10.1;94.4;
Elect;0;0;0;1.1;0;1;4.4;0;0.5;0.2;0.1;0.7;2.3;0.3;17.1;29.8;0;0;4.2;61.8;
HeatG;0;0;0;0;0;0;0.7;0;0;0;0;0;0.2;0;1;1.3;0;0;0;3.2;
Heavy;0;1;0.1;1.2;4.7;0.1;57.1;3.8;25.7;7.1;0.2;0.1;13.3;0.4;91.8;50.7;30.2;0.2;124.2;411.8;
Build;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;60.4;0;62.5;
Work_;0;0.5;0;0.5;1.5;0;0.7;16.4;21.4;0.3;0.1;0;0.6;5.1;21.8;14.8;0;171.8;0;255.4;
Autom;0;0;0;0;0;0;0.1;0;0.1;10.1;0.3;0.1;0.3;0;7.6;70.2;0;26.3;46.2;161.2;
Load_;0;0;0;0.1;0.1;0;0.3;0;0.2;0;10.7;2.7;0.3;0.1;29.8;0.8;3.3;0;1.1;49.6;
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.2;0;0;0;18.2;
Agri_;0;0;0;0.1;0.1;0;3.4;0.1;0.9;0.2;0;0;94.6;0.2;48.9;178.4;0.2;1.8;46.4;375.3;
Prope;0;0.1;0;0.2;0.2;0;2.1;1.3;0.6;0.2;0.9;0.2;0.6;11.4;62.8;236.5;16.9;9.4;0;343.4;
OthSe;0.1;2.4;0.1;8;13.2;0.2;62.7;14.7;76.6;38.4;18.6;4.7;43.3;46.4;1106.9;623.1;557.9;243.7;318.9;3180.1;
Labour_income;0;0.2;0;0.2;5.1;0.1;18;7.1;61.3;5.6;18.6;4.7;28.2;12.2;724.3;;;;;;
Labour_Tax;0;0.1;0;0.1;2.3;0.1;8.1;3.2;27.6;2.5;8.4;2.1;12.7;5.5;326.6;;;;;;
Capital_income;0;1.7;0;0.5;8.4;0.1;8.5;1.6;7;2.9;7.5;1.9;17.9;63.4;207.5;;;;;;
Production_Tax;0;0.2;0;0.1;1.4;0;2.4;0.5;2.4;0.6;1;0.2;-5;22;34.2;;;;;;
Profit_margin;0;1.2;0;0.5;7.1;0.2;7.5;4.5;13.2;-0.7;0.2;0;7.5;172.7;208.1;;;;;;
M_value;14.2;9.1;1.2;15.5;1.6;0;128.2;0;0;53.4;1.9;0.5;44.6;0;339.6;;;;;;
Trade_margins;0;0;0.2;4.5;0;0;78.8;0;0;26.8;0;0;90.6;0;-201.1;;;;;;
Transp_margins;0;0.3;0;0.9;1.5;0;11.1;0;0;1;-34.2;0;9.3;0;10.1;;;;;;
SpeMarg_Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Coal;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_AllFuels;0;0;0;0;-0.4;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Electricity;0;-0.3;-0.4;-0.6;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_HeatGeoSol_Th;0;-0.1;0;-0.1;-0.4;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Heavy_Industry;0;-0.7;0.4;-0.1;-2.5;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Work_constr;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Automobile;0;0;0;0;-0.1;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Load_PipeTransp;0;0;0;2.8;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_PassTransp;0;0;0;0.2;-0.2;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Agri_Food_industry;0;-0.1;0;-0.3;-0.6;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Comp;0;-0.3;0;0.3;1.5;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_C;0;2;0;0.3;3.4;-0.1;0;0;0;-6.6;0;0;0;0;0;;;;;;
SpeMarg_G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_I;0;0;0;0;0;0;0;0;0;7.4;0;0;0;0;0;;;;;;
SpeMarg_X;0;-0.8;0;-1.4;-2;0;0;0;0;0;0;0;0;0;0;;;;;;
VA_Tax;0;2.4;0;7.2;10.2;0.2;8;6.8;15.8;12.6;1.1;0.3;9.6;3.3;87.6;;;;;;
Energy_Tax_IC;0;0.2;0;4.7;0;0;0;0;0;0;0;0;0;0;0;;;;;;
Energy_Tax_FC;0;0;0;15.4;0;0;0;0;0;0;0;0;0;0;0;;;;;;
ClimPolCompensbySect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
OtherIndirTax;0;0.2;0;0.4;0.8;0;1;0.2;1.1;-1.1;-4.9;-1.2;-1.1;0.1;45.5;;;;;;
Carbon_Tax;1.3;7.7;4.3;16.3;0;0;0;0;0;0;0;0;0;0;0;;;;;;
Supply;15.7;27;8.6;94.4;61.8;3.2;411.8;62.5;255.4;161.2;49.6;18.2;375.3;343.4;3180.1;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Units;1000000k€;;;;;;;;;;;;;;;;;;;;
