IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;-100;-100;-100;-0.7;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;0;-0.7;
Natur;43;-100;43.2;50.5;49.5;49.1;56.7;37.5;44.7;45.4;45.1;46.1;45;45.8;45.1; 29.5;-100;-100;0;37.5;
Coal ;-100;-100;138.2;-100;251.8;197.7;140.2;-100;146.4;105.8;-100;-100;198.4;148.2;188.4; 163.6;-100;-100;0;162.4;
AllFu;-100;-100;-100;-100;50.5;38.2;31.8;22.5;22.5;18.9;22.4;23.3;32;23.4;25.1; 17.8;-100;-100;0;18.1;
Elect;-13.2;-9.7;-13.1;-8.7;-100;-9.6;-4.8;-5;-4.9;-4.5;-4.7;-4;-4.3;-4.2;-4.7;-5;-100;-100;0;-4.7;
HeatG;-100;-100;-100;-100;-100;-100;-4.8;-100;-4.9;-100;-100;-100;-4.3;-4.2;-4.7;-5;-100;-100;0;-4.8;
Heavy;-100;-4.9;-8.6;-3.9;-4.5;-4.8;0.2;0;0.1;0.5;0.3;1;0.7;0.8;0.3; 1;0;0;0;0.2;
Build;-100;-100;-100;-100;-100;-100;-100;0;-100;-100;-100;-100;-100;0.8;-100;-100;-100;0;0;0;
Work_;-8.7;-4.9;-8.6;-3.9;-4.5;-4.8;0.2;0;0.1;0.5;0.3;1;0.7;0.8;0.3; 1;-100;0;0;0.1;
Autom;-99.9;-4.9;-8.6;-3.9;-4.5;-4.8;0.2;0;0.1;0.5;0.3;1;0.7;0.8;0.3; 1;-100;0;0;0.5;
Load_;-100;-4.7;-8.4;-3.7;-4.3;-4.6;0.4;0.2;0.3;0.7;0.5;1.3;0.9;1;0.5; 1;0;-100; 0.2;0.5;
PassT;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100; 1;-100;-100;0;1;
Agri_;-100;-4.9;-8.6;-3.9;-4.5;-4.8;0.2;0;0.1;0.5;0.3;1;0.7;0.8;0.3; 1;0;0;0;0.7;
Prope;-100;-4.9;-8.6;-3.9;-4.5;-4.8;0.2;0;0.1;0.5;0.3;1;0.7;0.8;0.3; 1;0;0;0;0.8;
OthSe;-8.7;-4.9;-8.6;-3.9;-4.5;-4.8;0.2;0;0.1;0.5;0.3;1;0.7;0.8;0.3; 1;0;0;0;0.3;
