IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;-8.7;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;0
Natur;-13.2;0;-13.1;-8.7;-9.3;-9.6;-4.8;-5;-4.9;-4.5;-4.7;-4;-4.3;-4.2;-4.7;Natur;-5;0;0;0
Coal ;0;0;-13.1;0;-9.3;-9.6;-4.8;0;-4.9;-4.5;0;0;-4.3;-4.2;-4.7;Coal ;-5;0;0;0
AllFu;0;0;0;0;-9.3;-9.6;-4.8;-5;-4.9;-4.5;-4.7;-4;-4.3;-4.2;-4.7;AllFu;-5;0;0;0
Elect;-13.2;-9.7;-13.1;-8.7;0;-9.6;-4.8;-5;-4.9;-4.5;-4.7;-4;-4.3;-4.2;-4.7;Elect;-5;0;0;0
HeatG;0;0;0;0;0;0;-4.8;0;-4.9;0;0;0;-4.3;-4.2;-4.7;HeatG;-5;0;0;0
Heavy;0;-4.9;-8.6;-3.9;-4.5;-4.8; 0.2;0; 0.1; 0.5; 0.3; 1; 0.7; 0.8; 0.3;Heavy; 1;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.8;0;Build;0;0;0;0
Work_;-8.7;-4.9;-8.6;-3.9;-4.5;-4.8; 0.2;0; 0.1; 0.5; 0.3; 1; 0.7; 0.8; 0.3;Work_; 1;0;0;0
Autom;0;-4.9;-8.6;-3.9;-4.5;-4.8; 0.2;0; 0.1; 0.5; 0.3; 1; 0.7; 0.8; 0.3;Autom; 1;0;0;0
Load_;0;-4.9;-8.6;-3.9;-4.5;-4.8; 0.2;0; 0.1; 0.5; 0.3; 1; 0.7; 0.8; 0.3;Load_; 0.8;-0.2;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT; 1;0;0;0
Agri_;0;-4.9;-8.6;-3.9;-4.5;-4.8; 0.2;0; 0.1; 0.5; 0.3; 1; 0.7; 0.8; 0.3;Agri_; 1;0;0;0
Prope;0;-4.9;-8.6;-3.9;-4.5;-4.8; 0.2;0; 0.1; 0.5; 0.3; 1; 0.7; 0.8; 0.3;Prope; 1;0;0;0
OthSe;-8.7;-4.9;-8.6;-3.9;-4.5;-4.8; 0.2;0; 0.1; 0.5; 0.3; 1; 0.7; 0.8; 0.3;OthSe; 1;0;0;0
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;-8.7;-4.9;-8.6;-3.9;-4.5;-4.8;0.2;0;0.1;0.5;0.3;1;0.7;0.8;0.3;;;;;
M;-8.7;-4.9;-8.6;-3.9;-4.5;-52;0.2;-41.3;-41.9;0.5;0.3;1;0.7;-44.6;0.3;;;;;
Labour;-8.7;-4.9;-8.6;-3.9;-4.5;-4.8;0.2;0;0.1;0.5;0.3;1;0.7;0.8;0.3;;;;;
Capital_consumption;-8.7;-4.9;-8.6;-3.9;-4.5;-4.8;0.2;0;0.1;0.5;0.3;1;0.7;0.8;0.3;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 ktoe / ktons;;;;;;;;;;;;;;;;;;;
