Emission CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;CO2Emis_C;CO2Emis_X
Crude;0;0;0;-9.2;0;0;0;0;0;0;0;0;0;0;0;0;0
Natur;-13.7;0;-15.4;-9.2;-10.2;-10.8;-8.8;-5;-5.1;-5.6;-6.2;-7.1;-6.4;-4.7;-5.4;-5;0
Coal ;0;0;-15.4;0;-10.2;-10.8;-8.8;0;-5.1;-5.6;0;0;-6.4;-4.7;-5.4;-5;0
AllFu;0;0;0;0;-10.2;-10.8;-8.8;-5;-5.1;-5.6;-6.2;-7.1;-6.4;-4.7;-5.4;-5;0
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2Emis_Sec;-13.7;0;-15.4;-9.2;-10.2;-10.8;-8.8;-5;-5.1;-5.6;-6.2;-7.1;-6.4;-4.7;-5.4;;
Tot_CO2Emis_IC;-8.1;;;;;;;;;;;;;;;;
Tot_CO2Emis_C;-5;;;;;;;;;;;;;;;;
DOM_CO2;-6.9;;;;;;;;;;;;;;;;
Units;0.01 MtCO2;;;;;;;;;;;;;;;;
