CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;0.4623509;-9.2111786;0;-9.2111786;Nan;Nan;Nan;0;0.1083758;-0.4536614;-0.0001137
Natural_gas;0.5413593;-6.0230462;0;-6.0230462;-4.995991;Nan;Nan;0;0.0000714;-0.0668879;0.0359104
Coal;178.90024;-10.911838;0;-10.911838;-4.995991;Nan;Nan;0;14.647936;-63.29029;-44.804306
AllFuels;2.2881311;-4.4533195;0;-4.4533195;-4.995991;Nan;Nan;0;0.6552283;0.0654403;-0.1330386
Electricity;6.4397379;-5.4637093;0;-5.4637093;-4.995991;Nan;Nan;0;5.1667796;2.044124;-5.3899168
HeatGeoSol_Th;18.0348;-6.1233985;0;-52.633098;-4.995991;Nan;Nan;Nan;4.8969654;-99.967144;-99.967144
Heavy_Industry;3.1123061;-3.9993935;0;1.2593071;-0.9932932;-1.1840532;-1.261083;-2.5846775;2.0562407;1.2255914;0.8368415
Buildings_constr;0.5050353;-0.0268346;0;-41.270019;Nan;Nan;-0.0268547;Nan;0.0450641;-99.997431;-99.997431
Work_constr;0.5361234;-0.1470118;0;-41.998382;0.2135793;Nan;-0.0574749;Nan;0.0942360;-99.99942;-99.99942
Automobile;0.6080311;-0.6745487;0;0.3320320;0.4175823;Nan;0.1475363;-1.103688;0.0727499;-0.1176358;-0.3289490
Load_PipeTransp;5.8245517;-1.2342494;0;-1.2342494;-8.1632838;-8.3402291;Nan;0;3.1120599;-2.1584788;-5.333584
PassTransp;2.89841;-2.2094261;0;-2.2094261;-2.2094261;Nan;Nan;Nan;1.0477433;-2.8167685;-2.7466604
Agri_Food_industry;1.5691071;-1.4542349;0;1.646935;-0.5204923;-0.7121632;-0.7895609;-1.5389803;0.7465912;0.5581803;1.1585869
Property_business;0.1962460;0.2980341;0;-44.883931;0.5511405;0.3574048;0.2791734;Nan;0.0185305;-99.999972;-99.999972
OthSectors;0.5120860;-0.3921333;0;0.4742547;0.2988509;0.1056013;0.0275661;-0.6188379;0.0940287;0.0449964;0.2833219
