Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;2328.6;2384.8;1.0180738;2342.5;1.0059499
Households consumption;1295.2;1295.2;1.0213205;1268.2;1.0001546
Households consumption - Non-energy goods;1199.6;1199.6;1.0092721;1188.6;1.003698
Households consumption - Energy goods;95.6;95.6;1.2013441;79.5;0.9500401
Government consumption;609.5;609.5;1.0083385;604.4;1.0000245
Government consumption - Non-energy goods;609.5;609.5;1.0083385;604.4;1.0000245
Government consumption - Energy goods;0;0;1.8204898;0;Nan
Investment;544.7;544.7;1.007442;540.6;1.0587513
Investment - Non-energy goods;544.7;544.7;1.007442;540.6;1.0587513
Investment - Energy goods;0;0;1.8255031;0;Nan
Exports;551.7;551.7;1.0114333;545.5;0.9848376
Exports - Non-energy goods;536.6;536.6;1.0108372;530.8;0.9844256
Exports - Energy goods;15.1;15.1;1.0330291;14.7;1
Imports;616.2;616.2;1;616.2;1.0130836
Imports - Non-energy goods;574.5;574.5;1;574.5;1.0192026
Imports - Energy goods;41.7;41.7;1;41.7;0.9357409
Net-of-tax wages;-;-;-;for nominal ratio:;1.0023274
Total Employment;-;-;-;Abs ratio:;1.0083101
