IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;0;0;0;8.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Natur;65.2;0.4;65.2;65.2;65.2;65.2;65;45.1;52.6;52.6;52.6;52.6;51.9;52.6;52.6;36.7;0.4;0.4;0.4;
Coal ;82.1;82.1;256.4;82.1;369.6;311.1;234.6;82.1;241.3;197.7;82.1;82.1;294;241.3;284.6;259.6;82.1;82.1;82.5;
AllFu;1.2;1.2;1.2;1.2;66.8;53.8;39.7;30.2;30.2;25.8;29.8;29.8;39.2;30.2;32.6;24.9;0.9;0.9;1.6;
Elect;7.4;7.4;7.4;7.4;7.4;7.4;7.3;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.6;
HeatG;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.8;
Heavy;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Build;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;
Work_;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;
Autom;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;
Load_;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;
PassT;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.1;
Agri_;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;
Prope;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;
OthSe;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;
;;;;;;;;;;;;;;;;;;;;
w;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;;;;
pL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;;;;
pK;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;;;;;
pY;1;0.9;181.1;2.5;7.8;19.8;3.5;0.8;0.8;0.8;6.1;3.2;1.9;0.7;0.8;;;;;
pM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
p;0;0.4;82.5;1.6;7.6;19.8;2;0.8;0.8;0.4;5.9;3.1;1.5;0.7;0.7;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
