Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;1.0497048;0.9259054;181.12715;2.4913411;7.830931;19.80034;3.5234675;0.8001211;0.7919877;0.8415925;6.0549639;3.1771283;1.8720074;0.7353546;0.7947959
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-0.6718186;Nan;0.5080647;0.8414463;-7.939266;-1.950397;-0.2163427;0.5612262;0.5711606
Exports in volume;0;0;0;0;0;Nan;-2.9092796;Nan;Nan;-1.520756;0;Nan;-1.8291373;Nan;-0.9978951
Imports in volume;-8.9713899;-5.702322;-10.627452;-4.2007953;-5.1049728;-52.426494;2.2333786;-37.835461;-39.212406;1.334817;-0.4862194;-1.950397;2.4708752;-44.687836;1.8431947
Trade balance ;-8.977232;-6.2095607;-12.870743;-13.388668;17.298147;-5.6237389;383.37267;5.8940093;4.7247652;18.418279;-11.725271;-1.950397;-45.691892;1.7224724;39.054335
Energy Cost share variation;1.2000395;1.0762248;18.473526;0.9981799;100.46125;6.5061393;38.511289;21.133178;17.207672;14.972536;16.1572;11.499337;25.406941;12.21238;11.52932
 Energy/Labour cost variation;2.0248839;1.7752187;232.28786;3.2740243;115.65731;27.298437;43.058728;21.818864;17.861626;15.670918;22.904423;14.774682;27.457917;12.775061;12.154716
Labour;-8.9713899;-5.702322;-10.627452;-4.2007953;-5.1049728;-5.7139278;-3.7447586;5.8196451;4.6492005;-0.0680089;-0.4862194;-1.950397;-1.2424132;0.6548801;0.4853204
Unitary Labour Cost variation;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446
Net nominal wages;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446;0.2327446
Net real wages (Consumer Price Index);-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966;-1.8913966
Purchasing power of wages_Households;1.002177;0.7332744;0.2787655;0.8023495;0.9328947;0.8380053;0.9828127;0.9944048;0.9944871;0.9977858;0.9109042;0.9701616;0.9873194;0.9950131;0.9951114
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
