Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);-1.994008
Households consumption in GDP;-1.8623327
Public consumption in GDP;0.0041723
Investment in GDP;1.2907434
Exports in GDP;-0.8522300
Imports in GDP;0.5743610
Imports/Domestic production ratio;0.1543527
Imports of Non Energy goods in volume;2.9563053
Exports of Non Energy goods in volume;-3.5641035
Total Employment;-1.083427
Unemployment rate (% points);0.0097827
Net-of-tax wages;0.2590846
Labour Intensity (Laspeyres);0
Labour tax rate (% points);0
Energy Input Price (Laspeyres);31.214376
Energy Intensity (Laspeyres);-4.2218288
Energy cost share for non-energetic sector;18.214499
Production Price (Laspeyres);4.1060359
Production Price Energy goods (Laspeyres);10.496652
Production Price Non Energy goods (Laspeyres);3.9671053
Real Households consumption (Laspeyres);-3.4202088
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;-3.0902878
Public Deficits; 4.3480901
Total Emissions;-7.6891932
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
