CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;239.60192;868.61017;347.10648;41304.79;0;0;0;28;18.468654;68.937513;0.9863806
Natural_gas;228016.2;33.58875;252.31424;36715.639;11524.391;0;0;3336.2683;0.0299796;1.3063967;0.5725111
Coal;332.16201;3075.5643;164.55276;7425.8014;27.941969;0;0;103.5648;197.14478;1.226676;0.5523366
AllFuels;726.24492;38539.288;454.05869;34497.591;29613.347;0;0;16932;60.755328;0.9152944;0.4648232
Electricity;1067.1284;43341.32;1008.5722;1619.7016;13540.753;0;0;5279.7936;10.046426;0.1199478;0.0371521
HeatGeoSol_Th;777.87765;3323.4787;1027.4916;0;1171.9762;0;0;0;80.406386;0;0
Heavy_Industry;1039.1068;181667;1000;127767.68;34922.222;20447.726;140.85973;95226.837;6.9993988;1.3412285;0.6685166
Buildings_constr;1069.5141;54600.96;1000;3.348e-16;0;0;52609.091;0;0.2553231;0;0
Work_constr;1070.0669;232845.46;1000;3.229e-16;12687.115;0;154027.1;0;0.6356785;0;0
Automobile;22231.888;3096.0208;21043.918;2566.762;2583.1639;0;616.29052;1746.5156;0.5601167;1.4619377;0.7085376
Load_PipeTransp;222.19646;373683.23;176.45045;11148.074;4678.5366;20028.479;0;8041.4979;23.265372;0.0364024;0.0234336
PassTransp;98.130645;191604.84;87.518192;5642.6653;197247.51;0;0;0;10.374118;0.0262646;0.0255925
Agri_Food_industry;1075.882;209327.2;1000;44395.744;117081.44;158.26424;1254.8707;31857.621;3.6429056;0.4037194;0.1990121
Property_business;84.079871;4087903.8;78.108601;2.753e-16;2802122.9;197345.82;115584.55;0;0.1672991;0;0
OthSectors;1073.2821;2737035;1000;342687.54;578861.66;510311.7;236204.57;318802.41;0.9200630;0.2254472;0.1157451
