IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;345.7;345.7;345.7;375.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;362.9;
Natur;597.3;484;597.3;597.3;597.3;597.3;598.5;760;684.8;684.8;684.8;684.8;690.9;684.8;684.8;1089.5;584.2;584.2;222.3;
Coal ;227.7;227.7;678.2;227.7;578.4;569;737.9;227.7;712.8;836;227.7;227.7;588.7;712.8;608.4;740;270.8;270.8;301.4;
AllFu;859.8;859.8;859.8;859.8;775;855.1;1095.6;1338.4;1329.8;1495.1;1357.7;1357.7;1079.8;1329.8;1249.5;1738.1;1390.9;1390.9;587.9;
Elect;820.4;820.4;820.4;820.4;1118.3;820.4;714.5;1228.1;1179.1;820.4;820.4;820.4;889.4;1179.1;1223.7;2051.5;1701;1701;741.3;
HeatG;794.6;794.6;794.6;794.6;794.6;794.6;794.6;794.6;796.9;794.6;794.6;794.6;796.9;796.9;796.9;893.6;961.9;961.9;787.4;
Heavy;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1321.7;1466.2;1466.2;1466.2;1317;
Build;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1074.1;1209.3;1209.3;1209.3;1069.5;
Work_;1075;1075;1075;1075;1075;1075;1075;1075;1075;1075;1075;1075;1075;1075;1075;1174.2;1174.2;1174.2;1070.1;
Autom;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;26394.6;27415.3;30373.1;44939.4;26688;
Load_;117.9;117.9;117.9;117.9;117.9;117.9;117.9;117.9;117.9;117.9;117.9;117.9;117.9;117.9;117.9;163.8;163.8;163.8;131.2;
PassT;91.3;91.3;91.3;91.3;91.3;91.3;91.3;91.3;91.3;91.3;91.3;91.3;91.3;91.3;91.3;92.9;92.9;92.9;97.8;
Agri_;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1455.6;1537.8;1537.8;1537.8;1460.4;
Prope;84.1;84.1;84.1;84.1;84.1;84.1;84.1;84.1;84.1;84.1;84.1;84.1;84.1;84.1;84.1;85.2;85.2;85.2;84.1;
OthSe;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1019.3;1086.1;1086.1;1086.1;1002.5;
;;;;;;;;;;;;;;;;;;;;
w;91841.8;63814.4;45581.1;79382.3;63814.4;63814.4;53004.8;39239.3;21689.5;71673.9;219477.8;49732.5;35526.5;24192;34436.1;;;;;
pL;133257.3;92591.2;66135.6;115179.4;92591.2;92591.2;76907;56934.1;31470.3;103994.8;318450.2;72159.1;51547;35101.3;49964.9;;;;;
pK;964.8;964.8;964.8;964.8;964.8;964.8;964.8;964.8;964.8;964.8;964.8;964.8;964.8;964.8;964.8;;;;;
pY;239.6;228016.2;332.2;726.2;1067.1;777.9;1039.1;1069.5;1070.1;22231.9;222.2;98.1;1075.9;84.1;1073.3;;;;;
pM;347.1;252.3;164.6;454.1;1008.6;1027.5;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;344.9;460.5;213.6;597.7;1065;777.9;1023;1069.5;1070.1;21693.4;220.9;97.8;1062.6;84.1;1065.1;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
