Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.6;0;51.8;29.5;1.2;51.1;0;14.9;70.6;0.8;18.3;179.6;238;627
HPrice Index (Paasche);1.510e-10;1.3656282;3.5856795;1.2486985;1.0621447;1.1793767;1.0181424;6.825e-10;1.0065533;1.0039312;1.0998216;1.0317974;1.0135863;1.0025121;1.0058459
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;50.2;0;14.8;70.3;0.7;17.7;177.1;237.4;623.3
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;30.2;0;0;0;3.3;0;0.2;16.9;557.9
G Price Index (Paasche);1.0000806;1.0028515;1.8109347;1.0084079;1.0619364;1.1795012;1.0181424;1.0061657;1.0065533;1.0039265;1.0998216;1.0317974;1.0135863;1.0025121;1.0058459
Government consumption Real 1 (G€);0;0;0;0;0;0;29.6;0;0;0;3;0;0.2;16.9;554.7
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;64;181.9;27.9;0;0;1.9;9.9;258
I Price Index (Paasche);-7.696e-15;-3.714e-13;2.950e-12;-5.122e-14;-8.589e-14;6.387e-13;1.0181424;1.0061657;1.0065533;1.0039125;1.532e-14;-2.361e-14;1.0135863;1.0025121;1.0058459
Investment Real 1 (G€);0;0;0;0;0;0;0.2;63.6;180.7;27.8;0;0;1.9;9.9;256.5
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.7;0.1;10.1;4.2;0;124.3;0;0;46.2;1.1;0;46.4;0;318.9
X Price Index (Paasche);1.0000806;1.002887;1.8147988;1.0150118;1.0631555;0;1.0182063;0;0;1.0038834;1.0896447;0;1.0135411;0;1.005944
Exports Real 1 (G€);0;0.7;0;10;3.9;0;122.1;0;0;46;1.1;0;45.8;0;317
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.2;9.2;1.2;15.6;1.6;0;129.2;0;0;53.9;1.9;0.5;44.8;0;343.6
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.2;9.2;1.2;15.6;1.6;0;129.2;0;0;53.9;1.9;0.5;44.8;0;343.6
