CarbonTax_Diff_IC;Crude_oil;Natural_gas;Coal;FuelProd;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;OthIndus;Agriculture;Composite
Crude_oil;1;1;1;1;1;1;1;1;1;1;1;1;1
Natural_gas;1;1;1;1;1;1;1;1;1;1;1;1;1
Coal;1;1;1;1;1;1;1;1;1;1;1;1;1
FuelProd;1;1;1;1;1;1;1;1;1;1;1;1;1
Electricty;1;1;1;1;1;1;1;1;1;1;1;1;1
HeatGeoSol_Th;1;1;1;1;1;1;1;1;1;1;1;1;1
Steel_Iron;1;1;1;1;1;1;1;1;1;1;1;1;1
NonFerrousMetals;1;1;1;1;1;1;1;1;1;1;1;1;1
Cement;1;1;1;1;1;1;1;1;1;1;1;1;1
OthMin;1;1;1;1;1;1;1;1;1;1;1;1;1
OthIndus;1;1;1;1;1;1;1;1;1;1;1;1;1
Agriculture;1;1;1;1;1;1;1;1;1;1;1;1;1
Composite;1;1;1;1;1;1;1;1;1;1;1;1;1
