CarbonTax_Diff_IC;Coal;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;RestIndus;FreightTrans;PassTrans
Coal;0.0029295;0;0;0;0;0.3992919;0;0;0;0.369461;2.3286133;0.3414917;0.3648681;0.3711091;0.3784829;0.3692473;0;0;0
COilFFuelExDies;0;6.3520508;1.952D-10;0;1.5000001;0.6650544;1.1423338;1.0397948;1.0053938;0.2079161;0.8128050;0.6488646;0.625;0.8125;0.8272704;0.5092774;1.2304706;2.7078247;1.0624999
NaturalGas;0;0.1562499;9.760D-10;0.8649597;0.0908203;0.5631103;0;0;0;0.6418305;0.5800781;0.5730286;0.5892335;0.5993921;0.6114044;0.6031342;0;3.2581787;0.6003266
Allbiofuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diesel;0;0.3749999;1.952D-10;1.6665039;1.952D-10;1.5078145;1.9062499;1.7363433;1.678711;1.7187499;1.5358886;1.5156251;1.5624999;1.593748;1.6296987;1.6049195;1.6874999;1.9374999;2.25
Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FreightTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
