ConstrainedShare_C;H1;H2;H3;H4
Coal;0.5;0.5;0.5;0.5
COilFFuelExDies;0.5;0.5;0.5;0.5
NaturalGas;0.5;0.5;0.5;0.5
Allbiofuel;0.5;0.5;0.5;0.5
Diesel;0.5;0.5;0.5;0.5
Electricity;0.5;0.5;0.5;0.5
PlantedForest;0.5;0.5;0.5;0.5
Cattle;0.5;0.5;0.5;0.5
RestAgri;0.5;0.5;0.5;0.5
Cement;0.5;0.5;0.5;0.5
IronSteel;0.5;0.5;0.5;0.5
NonFerrousMetals;0.5;0.5;0.5;0.5
Chemical;0.5;0.5;0.5;0.5
BovineMeat;0.5;0.5;0.5;0.5
RestFoodBeve;0.5;0.5;0.5;0.5
RestIndus;0.5;0.5;0.5;0.5
FreightTrans;0.5;0.5;0.5;0.5
PassTrans;0.5;0.5;0.5;0.5
RestComp;%nan;%nan;%nan;%nan
