sigma_ConsoBudget;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Coal;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
CrudeOil;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
NaturalGas;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
FosFuelExclDies;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Allbiofuel;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Diesel;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Electricity;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
PlantedForest;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
Cattle;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
RestAgri;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
Cement;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
IronSteel;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
NonFerrousMetals;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
Chemical;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
MeatFoodBev;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
RestIndus;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
RoadTrans;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
RailAirWatTrans;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
RestComp;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
