sigma_pC_AGG_EnCom_HH1;H1;H2;H3
Coal;-1;-1;-1
COilFFuelExDies;-0.96;-0.96;-0.96
NaturalGas;-0.96;-0.96;-0.96
Allbiofuel;-0.96;-0.96;-0.96
Diesel;-0.96;-0.96;-0.96
Electricity;-0.96;-0.96;-0.96
PlantedForest;-0.96;-0.96;-0.96
Cattle;-0.91;-0.89;-0.89
RestAgri;-0.96;-0.91;-0.91
Cement;-0.93;-0.93;-0.91
IronSteel;-0.93;-0.93;-0.91
NonFerrousMetals;-0.93;-0.93;-0.91
Chemical;-0.93;-0.93;-0.91
BovineMeat;-0.96;-0.91;-0.91
RestFoodBeve;-0.96;-0.91;-0.91
PaperPulp;-0.87;-0.87;-0.87
RestIndus;-0.83;-0.8;-0.8
Transp;-0.83;-0.8;-0.8
RestComp;-0.87;-0.87;-0.87
