CarbonTax_Diff_C;HH1;H2;H3
Coal;1;1;1
CrudeOil;1;1;1
NaturalGas;1;1;1
OthFossFuel;1;1;1
OthBiofuel;1;1;1
Diesel;1;1;1
Biodiesel;1;1;1
Gasoline;1;1;1
Ethanol;1;1;1
Electricity;1;1;1
PlantedForest;1;1;1
SugarCane;1;1;1
Soy;1;1;1
RestAgri;1;1;1
Cattle;1;1;1
RestLivestoock;1;1;1
Cement;1;1;1
IronSteel;1;1;1
MiningPellet;1;1;1
NonFerrousMetals;1;1;1
Chemical;1;1;1
BovineMeat;1;1;1
RestFoodBeve;1;1;1
Textiles;1;1;1
PaperPulp;1;1;1
Ceramics;1;1;1
Construction;1;1;1
OthIndustry;1;1;1
FreightRoad;1;1;1
FreightRail;1;1;1
FreightAir;1;1;1
FreightWater;1;1;1
PassRoad;1;1;1
PassRail;1;1;1
PassAir;1;1;1
PassWater;1;1;1
WaterSewage;1;1;1
Education;1;1;1
Health;1;1;1
Composite;1;1;1
