CarbonTax_Diff_C;HH1
Coal;1
CrudeOil;1
NaturalGaz;1
OthFossFuel;1
OthBiofuel;1
Diesel;1
Biodiesel;1
Gasoline;1
Ethanol;1
Electricity;1
PlantedForest;1
SugarCane;1
Soy;1
RestAgri;1
Cattle;1
RestLivestoock;1
Cement;1
IronSteel;1
MiningPellet;1
NonFerrousMetals;1
Chemical;1
BovineMeat;1
RestFoodBeve;1
Textiles;1
PaperPulp;1
Ceramics;1
Construction;1
OthIndustry;1
FreightRoad;1
FreightRail;1
FreightAir;1
FreightWater;1
PassRoad;1
PassRail;1
PassAir;1
PassWater;1
WaterSewage;1
Education;1
Health;1
Composite;1
