ConstrainedShare_C;HH1
Coal;0.5
CrudeOil;0.5
NaturalGaz;0.5
OthFossFuel;0.5
OthBiofuel;0.5
Diesel;0.5
Biodiesel;0.5
Gasoline;0.5
Ethanol;0.5
Electricity;0.5
PlantedForest;%nan
SugarCane;%nan
Soy;%nan
RestAgri;%nan
Cattle;%nan
RestLivestoock;%nan
Cement;%nan
IronSteel;%nan
MiningPellet;%nan
NonFerrousMetals;%nan
Chemical;%nan
BovineMeat;%nan
RestFoodBeve;%nan
Textiles;%nan
PaperPulp;%nan
Ceramics;%nan
Construction;%nan
OthIndustry;%nan
FreightRoad;%nan
FreightRail;%nan
FreightAir;%nan
FreightWater;%nan
PassRoad;%nan
PassRail;%nan
PassAir;%nan
PassWater;%nan
WaterSewage;%nan
Education;%nan
Health;%nan
Composite;%nan
