CarbonTax_Diff_C;HH1
Coal;-0.03
CrudeOil;-0.03
NaturalGaz;-0.03
OthFossFuel;-0.03
OthBiofuel;-0.03
Diesel;-0.03
Biodiesel;-0.03
Gasoline;-0.03
Ethanol;-0.03
Electricity;-0.03
PlantedForest;%nan
SugarCane;%nan
Soy;%nan
RestAgri;%nan
Cattle;%nan
RestLivestoock;%nan
Cement;%nan
IronSteel;%nan
MiningPellet;%nan
NonFerrousMetals;
Chemical;
BovineMeat;
RestFoodBeve;
Textiles;
PaperPulp;
Ceramics;
Construction;
OthIndustry;
FreightRoad;
FreightRail;
FreightAir;
FreightWater;
PassRoad;
PassRail;
PassAir;
PassWater;
WaterSewage;
Education;
Health;
Composite;
