CarbonTax_Diff_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Natural_gas;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Coal;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
FuelProd;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39
Electricty;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
HeatGeoSol_Th;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Metals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Minerals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthIndus;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Agriculture;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Composite;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
