CarbonTax_Diff_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;1;1;1;1;1;1;1;1;1;1
Natural_gas;1;1;1;1;1;1;1;1;1;1
Coal;1;1;1;1;1;1;1;1;1;1
AllFuels;1;1;1;1;1;1;1;1;1;1
Electricity;1;1;1;1;1;1;1;1;1;1
HeatGeoSol_Th;1;1;1;1;1;1;1;1;1;1
Heavy_Industry;1;1;1;1;1;1;1;1;1;1
Buildings_constr;1;1;1;1;1;1;1;1;1;1
Work_constr;1;1;1;1;1;1;1;1;1;1
Automobile;1;1;1;1;1;1;1;1;1;1
Load_PipeTransp;1;1;1;1;1;1;1;1;1;1
PassTransp;1;1;1;1;1;1;1;1;1;1
Agri_Food_industry;1;1;1;1;1;1;1;1;1;1
Property_business;1;1;1;1;1;1;1;1;1;1
OthSectors;1;1;1;1;1;1;1;1;1;1
