ConstrainedShared_IC;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;AirTransp;Agri_Food_industry;Property_business;OtherSectors
Crude_oil;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Natural_gas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Coal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AllFuels;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Electricity;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
HeatGeoSol_Th;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Heavy_Industry;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Buildings_constr;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Work_constr;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Automobile;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OthTranspEquip;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Load_PipeTransp;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
PassTransp;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AirTransp;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Agri_Food_industry;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Property_business;;;;;;;;;;;;;;;;;
OtherSectors;;;;;;;;;;;;;;;;;
