;PrimEnergy;FinEnHTr;FinEnHRes;AllComp
Oil;1.0;1.0;1.0;1.0
Natural_gas;1.0;1.0;1.0;1.0
Coal_lignite;1.0;1.0;1.0;1.0
Elec_heating;1.0;1.0;1.0;1.0
Steel_Iron;1.0;1.0;1.0;1.0
NonFerrousMetals;1.0;1.0;1.0;1.0
Cement;1.0;1.0;1.0;1.0
OthMin;1.0;1.0;1.0;1.0
ChemicalPharma;1.0;1.0;1.0;1.0
Paper;1.0;1.0;1.0;1.0
Auto_transport;1.0;1.0;1.0;1.0
LandTransp;1.0;1.0;1.0;1.0
NavalTransp;1.0;1.0;1.0;1.0
AirTransp;1.0;1.0;1.0;1.0
AgriForest_Fish;1.0;1.0;1.0;1.0
Food_industry;1.0;1.0;1.0;1.0
Composite;1.0;1.0;1.0;1.0
