//Names;;;;;Notes;;;;;;;;;;;;;
//;;;;;;;;;;;;;;;;;;
//Sectors;Oil;Natural_gas;Coal_lignite;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Food_industry;Construction;Compo
sigma_omegaU_sect;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
Coef_real_wage_sect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
//;;;;;;;;;;;;;;;;;;
// Production;;;;;;;;;;;;;;;;;;
sigma_Phi;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
sigma_Theta;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
phi_L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
phi_K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ConstrainedShare_Labour;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
ConstrainedShare_Capital;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
// Consumption;;;;;;;;;;;;;;;;;;
delta_C_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
//;;;;;;;;;;;;;;;;;;
//International trade parameters;;;;;;;;;;;;;;;;;;
sigma;2;2;2;2;0.22;0.22;0.22;0.22;0.22;0.22;0.18;0.14;0.14;0.14;1.07;1.07;0.17;0.13
sigma_X;0;0;0;0;1.4964142143;1.4964142143;1.4964142143;1.4964142143;1.4964142143;1.4964142143;3.4158415842;0;0;0;1.2277227723;1.2277227723;0;1.3652169537
sigma_M;0;0;0;0;1.7400528961;1.7400528961;1.7400528961;1.7400528961;1.7400528961;1.7400528961;1.6633663366;0;1;1;1.9900990099;1.9900990099;0;1.695522401
delta_M_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
delta_X_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
delta_pM_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CarbonTax_Diff_M;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
