sigma_ConsoBudget;HH1
Crude_oil;0
Natural_gas;2.148286201
Crude_coal;0
Coke;0
Gasoline;1.001261356
LPG;1.001261356
Jetfuel;2.148286201
Road_diesel;1.001261356
Heating_oil;2.148286201
Other_fuels;2.148286201
Electricity;2.148286201
HeatGeoSol_Th;2.148286201
Steel_Iron;0.8
NonFerrousMetals;0.8
Cement;0.8
OthMin;0.8
Construction;0.8
ChemicalPharma;0.8
Paper;0.8
Mining;0.8
Automobile;0.8
OthTranspEquip;0.8
OthEquip;0.8
Electronics;0.8
Food_industry;0.8
OthManuf;0.8
LandTransp;0.8
NavalTransp;0.8
AirTransp;0.8
Agri_Forestry;0.8
Fishing;0.8
Property_business;0.8
Comp;%nan
