ConstrainedShared_IC;Crude_oil;Natural_gas;Coal;Gasoline;Fuel;Other_fuel_prod;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;ChemicalPharma;Paper;Mining;TranspEquipment;Transport_serv;Agriculture;Food_industry;Composite
Crude_oil;0.2;0.2;0.8;0.003;0.003;0.003;0.2;0.2;0.009;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.009;0.2;0.2;0
Natural_gas;0.2;0.2;0.8;0.2;0.2;0.2;0.09;0.2;0.009;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.009;0.2;0.2;0
Coal;0.2;0.2;0.9;0.2;0.2;0.2;0.8;0.2;0.009;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.009;0.2;0.2;0
Gasoline;0.2;0.2;0.8;0.2;0.2;0.2;0.8;0.2;0.009;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.009;0.2;0.2;0
Fuel;0.2;0.2;0.8;0.2;0.2;0.2;0.8;0.2;0.009;0.2;0.2;0.2;0.2;0.009;0.2;0.2;0.2;0.009;0.2;0.2;0
OthFuelProd;0.2;0.2;0.8;0.2;0.2;0.2;0.8;0.2;0.009;0.2;0.2;0.2;0.2;0.009;0.2;0.2;0.2;0.009;0.2;0.2;-0.2
Electricty;0.2;0.2;0.8;0.2;0.2;0.2;0.8;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.09;0.2;0.2;0
HeatGeoSol_Th;0.2;0.2;0.8;0.2;0.2;0.2;0.8;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.09;0.2;0.2;0
Steel_Iron;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
NonFerrousMetals;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Cement;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
OthMin;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Buildings_constr;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
ChemicalPharma;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Paper;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Mining;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
TranspEquipment;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Transport_serv;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Agriculture;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Food_industry;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Composite;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
