CarbonTax_Diff_IC;Crude_oil;Natural_gas;Coal;Fuels;OthFuelProd;Electricty;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Crude_oil;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Natural_gas;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Coal;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Fuels;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
OthFuelProd;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Electricty;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
HeatGeoSol_Th;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Heavy_Industry;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Buildings_constr;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Work_constr;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Automobile;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Load_PipeTransp;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
PassTransp;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Agri_Food_industry;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
Property_business;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
OthSectors;1.00;1.00;1.00;1.00;1.00;0.34;0.34;0.34;1.00;1.00;1.00;0.34;0.00;0.00;1.00;1.00
