ConstrainedShare_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Coke;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Crude_Non_transport;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Transport_fuels;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Biomass;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Natural_gas;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Electricity;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Renewable;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Iron_Steel;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Chem_Petrochem;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Aluminium;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Cement;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Construction;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Textile;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Resid_industries;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Agriculture;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Air_transport;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Water_transport;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Road;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Rail;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Housing;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Other_services;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
