Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;75.89074706;0;38422.7154;0;0;0;0;0;0;7.062954865;0;0;96.32606553;0;0;0;0;0;0;0;0;0;66.67156139;38668.66673;36648.89122;2019.775508
Gas;0;14806.9195;0;0;31249.5961;0;0;0;1889.647078;3790.828838;2721.639996;4523.246768;223.2240069;1990.68058;489.9363837;0;265.6631401;47.59798717;243.1658353;3233.313206;0;0;14986.15001;80461.60943;80365.01211;96.59732259
Fossil_fuels;0;0;1674.036302;0;944.8061161;0;2201.360894;547.9942511;0;0;41.30680043;0;313.9719487;1481.260246;310.6212524;1640.474552;171.7194845;224.7683623;398.8606978;1395.08226;0;0;26383.24398;37729.50714;37325.08655;404.4205906
Biofuels;0;0;0;0;0;0;3067.880655;652.7970414;0;0;0;0;0;627.8246792;125.7766285;0;7.517824853;0;0;415.923127;0;0;2227.974748;7125.694704;7123.674213;2.020490733
Elec;0;0;0;0;1019.697994;0;146.089555;0;322.8106911;1360.021496;1569.44011;467.7351129;2881.831036;6703.455426;594.0233041;0;2638.363076;1049.800397;432.3202561;9783.595408;0;0;0;28969.18386;28082.73357;886.4502876
Renew;0;0;0;20425.75066;1471.16657;608.3947621;200.3513897;42.63164352;0;0;493.5079771;1303.466351;0;0;0;0;152.9509174;0;0;655.1687483;0;0;0;25353.38901;25110.40598;242.9830332
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;824023.9;0;0;0;0;0
