Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;74.00212858;0;38414.30932;0;0;0;0;0;0;6.731241716;0;0;96.30499143;0;0;0;0;0;0;0;0;0;936.9099076;39528.25759;38583.73915;944.5184394
Gas;0;14613.05035;0;0;25841.52395;0;0;0;2048.115371;4040.884927;2755.474156;4985.293203;238.0436114;1877.598857;374.8208017;0;97.47942973;54.38020063;256.4532404;2015.197919;0;0;7026.734181;66225.0502;66129.99191;95.05829175
Fossil_fuels;0;0;1632.465136;0;855.0813988;0;1382.707602;287.2627346;0;0;39.57185727;0;350.7598418;591.4725379;247.6916253;1838.632363;143.4316568;256.7954942;498.7199999;427.6030427;0;0;28825.61389;37377.80918;36975.25283;402.5563509
Biofuels;0;0;0;0;0;0;2802.785679;478.7712243;0;0;0;0;0;197.9666028;118.3162255;0;7.497884588;0;0;101.0821196;0;0;2459.86415;6166.283886;6164.535436;1.748449796
Elec;0;0;0;0;1197.192846;0;116.7827366;0;367.60458;1513.815646;1771.243863;517.70742;3219.493341;3758.460851;692.9689833;0;2706.212639;1199.385932;482.6173627;12021.85117;0;0;0;29565.33737;28646.69193;918.6454427
Renew;0;0;0;18006.73825;1562.377672;654.9347368;186.8523786;31.91808162;0;0;472.7800812;1452.585886;0;0;0;0;152.5452307;0;0;702.4571843;0;0;0;23223.1895;23004.41904;218.7704602
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;523980.7813;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153310.0886;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30963.85406;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145619.6068;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439372.629;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;696438.0575;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320422.3875;0;0;0;0;514299.2538;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352305.2648;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259161.609;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266919.2795;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;784962.9129;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;501958.7943;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3957705.082;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
