CO2_Emis in MtCO2;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C
Crude_oil;0.3079770;0;0;0;3.5179367;0;0;0;0;0.0219593;0;0;0;0;0;0;0;0;0;0
Gas;0;26.517965;0;0;25.220251;0;0;0;2.8919989;5.6550515;5.180504;6.1095964;0.4234851;0;1.8121547;0;3.9109357;0;0.3862599;25.607633
Fossil_fuels;0;0;5.7700819;0;1.0067715;0;10.321598;2.3703537;0;0;0.1173672;0;0.6604143;16.266662;2.9122223;3.0148052;1.3942215;0.3958641;0.5014962;21.475592
Biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elec;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Renew;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
