Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;69.80838381;0;25602.21264;0;912.2420564;0;0;0;0;5.99522899;0;0;95.81101761;0;0;0;0;0;0;0;0;0;855.9573132;27542.02664;26403.54477;1138.481874
Gas;0;10188.59401;0;0;6498.476775;0;0;0;1269.716706;2456.990052;2242.26663;2823.876605;186.1913744;889.8398776;758.9378012;0;976.8440809;28.47262244;167.7797062;9126.857924;0;0;888.4068811;38503.25105;42178.48221;36.65587253
Fossil_fuels;0;0;1540.489186;0;320.2026377;0;2502.653735;585.4673218;0;0;38.0917251;0;224.3078311;4748.287492;750.0706305;1023.969972;295.2799175;134.454104;170.3317406;5634.401054;0;0;6172.587801;24140.59515;23601.10801;539.4871377
Biofuels;0;0;0;0;0;0;690.7955893;148.4880889;0;0;0;0;0;789.7039418;130.7837236;0;7.83448703;0;0;680.0195747;0;0;1499.363137;3946.988542;3945.869373;1.119168601
Elec;0;0;0;0;533.3992996;0;86.34944866;0;182.6410529;715.4103499;891.2456782;793.2148585;2066.075304;32.89785251;181.5133941;0;2436.664194;627.9797134;320.0743655;3628.816375;0;0;9.97E-12;12496.28189;11610.28189;886
Renew;0;0;0;10711.76763;1165.120968;458.746605;39.47403367;8.485033649;0;0;455.0960028;505.2867208;0;0;0;0;159.3934419;0;0;513.9506913;0;0;0;14017.32113;13969.36206;47.95906732
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296628.1649;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109212.3301;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15082.01514;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66804.40212;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217847.1308;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394472.4755;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159423.3569;0;0;0;0;324911.3392;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183479.0166;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134706.9608;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138739.241;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400160.5539;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259638.5258;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1867458.226;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
