Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;91.32819027;0;28452.81797;0;731.208984;0;0;0;0;4.913;0;0;96.17654647;0;0;0;0;0;0;0;0;0;2952.155565;32328.60026;31034.75995;1293.840308
Gas;0;12519.19121;0;0;18571.00041;0;0;0;1017.129;2010.901;2039.523;2399.06;182;98.87682606;730.8667531;0;1464.156793;23.904;147.187;10999.82186;0;0;387.4095917;52591.02745;40405.97403;12185.05342
Fossil_fuels;0;0;2023.042091;0;1684.145669;0;3070.3608;767;0;0;34.58;0;205.239;5586.885105;1039.566935;872.5120728;390.0221487;112.88;138.193;7252.848047;0;0;8058.287608;31235.56248;26120.53437;5115.028109
Biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;449.6193234;83.8951265;0;8.6452951;0;0;416.5312369;0;0;1230;2188.690982;2188.070379;0.620603328
Elec;0;0;0;0;382.833;0;82.0075;0;136.871;536.186;738.757;795.012;1894.761;0;48.83204218;0;2516.236369;527.216;406.62;3727.999441;0;0;146;11939.33135;11053.33135;886
Renew;0;0;0;5929.473209;754.1703312;423.1840633;0;0;0;0;413.14;329.928;0;0;0;0;175.8893943;0;0;285.014219;0;0;0;8310.799217;8310.799217;0
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
