Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;113.1495276;0;38178.15344;0;892.5421167;0;0;0;0;12.82075147;0;0;95.71294669;0;0;0;0;0;0;0;0;0;891.5478239;40183.92661;38943.6591;1240.267511
Gas;0;20161.92667;0;0;33185.48432;0;0;0;2531.656862;5261.105277;4468.812546;4611.323034;285.7823104;1393.3004;1166.214785;0;3576.906707;54.38020063;487.871777;12329.65446;0;0;5126.138086;94640.55744;94640.55744;0
Fossil_fuels;0;0;2515.397209;0;458.7940522;0;8457.928242;1854.972701;0;0;75.45733474;0;350.9194434;5347.296341;822.7720833;1838.632363;952.8167018;256.7954942;498.7199999;8727.371077;0;0;9263.045981;41420.91902;39093.23848;2327.680539
Biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;910.345001;130.0375103;0;21.12028557;0;0;1384.867233;0;0;2459.86415;4906.23418;4904.843017;1.391162702
Elec;0;0;0;0;1385.842819;0;225.906203;0;367.4612667;1469.920421;1732.213348;1636.727063;3230.798389;2940.069085;159.9291234;0;6147.116509;1199.385932;525.9229653;7591.76822;0;0;0;28613.06134;27726.62003;886.4413192
Renew;0;0;0;12517.3819;1562.377672;922.0006797;0;0;0;0;901.5167645;630.9043762;0;0;0;0;429.6943755;0;0;767.0663478;0;0;0;17730.94211;17730.94211;0
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
