2020;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M;
Coal;0;0;0;0;0;3046.4;0;0;0;113.95;10769.29;829.53;129.22;47.42;91.46;320.71;0;0;0;0;0;0;0;15348;2199.2;13148.8;
CrudeOil;0;0;0;90937.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88659.7;179597.3;161995.1;17602.2;
NaturalGas;0;13917.39;3746.85;2744.48;568.3;3785.6;0;0;0;3.76;2429.45;460.36;1824.02;822.35;833.42;3581.6;0;1751.69;144.55;614.95;0;0;0;37228.75;28241.46;8987.31;
FossilFuels;0;1102.98;192.92;2728.5;0;0;235.12;638.27;3732.82;2721.61;936.73;1368.19;2488.74;604.08;523.42;1875.8;25080.9;10889.43;673.56;22727.2;0;0;12658.73;91178.99;85598.38;5580;
BioFuels;0;0;0;0;1583.81;1036.15;201.87;548.01;3204.91;148.03;2670.53;10.24;57.46;2143.63;10887.92;2971.25;3052.24;2354.3;171.04;18734.66;0;0;0;49776.04;49775.86;0;
Electricity;0;827.21;144.68;363.6;516.2;10196.85;147.66;400.85;2344.3;484.26;2079.99;2030.19;1696.7;2196.21;1928.12;5677.71;0;164.11;11671.36;12308.77;0;0;0;55178.77;53050.75;2128.15;
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260664.55;0;
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8081.7;0;
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;387539.38;0;
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56445.02;0;
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49621;0;
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13492.77;0;
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239886.73;0;
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;770053.01;0;
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39983.23;0;
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1758516.7;0;
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242926.34;0;
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142584.55;0;
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5315783.94;0;
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
