2040;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.299999982;0;0;0;0;1430.588474;0;0;0;230.0286607;17069.29681;1379.677639;193.7221037;74.91563872;146.0771503;464.5467225;0;0;0;0;0;0;0;20989.15319;609.7049123;20379.44828
CrudeOil;0;0;0;120201.3541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141457.7459;261659.1;244056.8933;17602.20673
NaturalGas;0;26881.02719;7911.852627;6907.73613;751.2251228;4359.204325;0;0;0;7.590399842;3991.286461;765.6704592;2734.446861;1299.423049;1333.69287;5400.05512;0;1628.100266;33.22840893;696.0359634;0;0;0;64700.57525;64700.57269;0
FossilFuels;0;1530.103225;422.5905304;3606.808236;0;17.20006514;183.6646531;498.596298;2915.938103;5494.893105;1483.0471;2275.595318;3730.950686;954.5265154;837.6074063;2774.204142;35055.43146;17358.61976;178.7921899;26169.70007;0;0;16993.05201;122481.3209;114300.2338;8181.087065
BioFuels;0;0;0;310.35;2309.060507;2865.846561;259.6902613;704.9837881;4122.952974;815.5924574;4368.362034;17.03139574;193.4725561;3402.828712;20986.94477;4665.307298;7609.256525;4775.146131;154.5447673;25560.76752;0;0;0;83122.13825;83122.13825;0
Electricity;57.60013963;1147.329204;316.8743449;480.7011653;960.4023281;13554.88857;260.4445938;707.0315823;4134.929078;986.4500422;3428.488381;3376.660744;2543.588807;3470.332699;3085.529729;8260.107065;35.03409542;941.1070503;13907.17375;22152.9661;0;0;0;83807.63946;83665.21757;142.4496547
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373016.3345;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10498.74742;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;667400.8311;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114980.5128;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78847.51743;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22441.39106;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366275.2484;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1245126.858;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64866.78435;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2747531.67;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;430398.7282;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263298.9471;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8626982.47;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
