2020;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;9.09495E-13;0;0;0;0;3046.401898;0;0;0;113.9506393;10769.29088;829.5287251;129.223808;47.42360602;91.46202635;320.7134635;0;0;0;0;0;0;0;15347.99505;2199.19863;13148.79745
CrudeOil;0;1.45519E-11;0;90937.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88659.7;179597.3;161995.1;17602.2
NaturalGas;0;13917.38915;3746.847727;2744.480631;568.299826;3785.601159;0;0;0;3.760085042;2429.451448;460.3552283;1824.019235;822.3481084;833.4151315;3581.596463;0;1751.685952;144.5524066;614.947482;0;0;0;37228.75003;28241.4624;8987.310745
FossilFuels;0;1102.983247;192.9182268;2728.502489;0;0;235.117104;638.2747888;3732.819084;2721.6117;936.7255729;1368.190774;2488.735952;604.0788149;523.4162349;1875.795289;25080.90188;10889.43185;673.562754;22727.1965;0;0;12658.72844;91178.9907;85598.38023;5579.99769
BioFuels;0;0;0;0;1583.808847;1036.149451;201.8659964;548.0076693;3204.910365;148.0310719;2670.529894;10.24027551;57.45546174;2143.625944;10887.92285;2971.252841;3052.243783;2354.297045;171.0434171;18734.65835;0;0;0;49776.04326;49775.86268;0
Electricity;0;827.2139733;144.6845665;363.5994537;516.1992245;10196.8469;147.6588939;400.8510981;2344.295365;484.255748;2079.985589;2030.192017;1696.701054;2196.214441;1928.118784;5677.714273;0;164.1081544;11671.36163;12308.76653;0;0;0;55178.7677;53050.74527;2128.146803
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260664.5506;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8081.700713;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;387539.3752;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56445.0205;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49620.99542;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13492.77151;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239886.7266;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;770053.0101;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39983.22765;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1758516.697;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242926.3377;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142584.5528;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5315783.941;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
