2050;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.299999745;0;0;0;0;28.99996565;0;0;0;175.09662;14213.40423;1154.39293;170.3952353;60.03353151;145.2199142;422.2878132;0;0;0;0;0;0;0;16370.13024;562.5006662;15807.6052
CrudeOil;0;0.3;0;78207.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214283.7;292491.1;274888.9;17602.2
NaturalGas;0;25607.54558;6040.903152;5727.258498;488.749192;314.3917598;0;0;0;5.777734704;3280.158187;640.6400572;2471.380695;1041.162761;1325.825939;5134.329361;0;938.0265638;16.7625888;536.2831347;0;0;0;53569.19521;53569.17983;0
FossilFuels;0;1807.102091;392.0031676;2346.99726;0;0;147.8322649;401.32175;2347.047876;4214.455512;1261.951227;1904.002531;3035.330001;764.817376;832.6699861;2590.040432;20829.3698;10851.22891;55.79596101;4269.02975;0;0;23547.98097;81598.97687;75261.13004;6337.607051
BioFuels;0;0;0;317.8;3732.359708;3353.950408;256.0120138;694.9984124;4064.555554;623.1093895;6620.167087;14.2505844;166.7117109;2726.531948;30995.98981;4488.98157;11663.97181;5696.835152;120.5290185;18653.63127;0;0;0;94190.38544;94190.19323;0
Electricity;0;1355.385233;294.0151014;312.5000633;664.2001346;15141.17296;299.9617184;814.3091215;4762.319745;1092.268788;3874.157495;2825.266706;2120.471517;2780.603064;3067.328158;7779.458104;436.3925815;6603.810453;14359.99823;25036.7617;0;0;0;93620.38087;93479.6143;140.7500285
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443.57262;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.101967;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800.26528;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132.79018;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94.426778;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.426858;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;437.16414;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1089.7389;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75.539477;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3338.3621;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500.32594;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321.48994;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11375.331;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
