current_year;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Coal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COilFFuelExDies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NaturalGas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allbiofuel;0;0;0;0;0;2462746.702;2205918.224;1967976.404;1769532.304;1605217.823;1801581.587;1585773.409;1399693.664;1235514.982;1096997.685
Diesel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Electricity;0;0;0;0;0;10257326.66;10589866.96;10927853.04;11281644.98;11652315.06;12046924.85;12441138.76;12843209.18;13258789.71;13712513.98
PlantedForest;0;0;0;0;0;1143099.574;1180134.866;1218454.288;1257963.198;1298662.355;1340074.248;1383212.344;1427819.966;1473975.59;1521320.708
Cattle;0;0;0;0;0;1983332.383;2047786.789;2114480.11;2183219.33;2254076.169;2326440.369;2401461.007;2478982.942;2559215.876;2641430.896
RestAgri;0;0;0;0;0;20639061.55;21309164.97;22002469.25;22717122.72;23453525.18;24206192.91;24986301.72;25793104.12;26628345.94;27483205.49
Cement;0;0;0;0;0;204608.0407;210951.8813;217142.4776;223193.6998;229144.072;238430.6904;244476.5175;250460.9374;256427.4187;262316.9488
IronSteel;0;0;0;0;0;1778225.521;1808431.144;1839287.082;1870537.573;1902231.867;1934356.34;1966681.962;1999622.508;2033241.844;2066897.425
NonFerrousMetals;0;0;0;0;0;1529763.212;1594171.275;1659662.716;1726289.931;1794308.23;1879638.275;1952039.701;2026302.076;2102712.901;2180749.202
Chemical;0;0;0;0;0;4705696.234;4775198.238;4838907.33;4896762.938;4949305.606;5112364.657;5166218.149;5214743.699;5258647.611;5296547.043
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestFoodBeve;0;0;0;0;0;41048801.58;41534443.52;42021557.86;42503332.64;42981310.3;43575698.52;44050813.57;44521778.75;44993139.81;45454239.97
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestIndus;0;0;0;0;0;48139478.5;48653268.02;49149543.23;49625880.8;50087248.24;50813438.14;51264971.1;51705529.08;52140918.46;52556569.89
Transp;0;0;0;0;0;13766601.65;14971331.07;16733887.91;19906439.74;22820944.38;27786598.13;28377049.53;28996776.03;30131954.29;31076181.05
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
