2022;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;3705.6;0;0;0;116.1947461;13301.58969;1002.302294;68.26465754;4.315279307;20.00948499;47.9576013;268.5863963;0;0;0;0;0;0;18534.82015;2651.354736;15883.46541
COilFFuelExDies;0;52881.23984;0.000471886;0;39180.08196;1619.010765;2.213454459;6.008887285;35.14174385;3296.731849;307.2825426;2035.810138;2818.588455;75.46323435;349.9148833;408.436824;1798.053911;7682.837096;760.3237267;26133.14215;0;0;114515.395;253905.677;229295.9085;24609.7685
NaturalGas;0;16294.89948;3410.507968;0;1611.400651;5866.283242;0;0;0;1.684773945;495.2996785;264.1938309;869.1517088;61.80341674;286.5757815;354.769689;1779.391138;675.8075927;73.97875581;270.5243697;0;0;0;32316.27208;28119.33411;4196.937967
Allbiofuel;0;0;0;1894.733754;0;2933.752307;196.6506638;533.8495531;3122.109529;293.9445816;3314.630439;12.76004734;64.93676319;406.2856851;1883.902928;9899.245239;3213.123783;4908.288149;174.339154;15836.05794;0;0;0;48688.61051;48688.61051;0
Diesel;0;0;0;0;0;0;327.5858246;889.300563;5200.891797;53.48727629;36.34119371;9.53336873;17.57275685;42.00953398;194.7936808;192.1862746;548.6249561;37210.0204;32.92754891;0;0;0;0;44755.27517;35269.12282;9486.152346
Electricity;0;1331.365647;0.000139962;665.7393391;147.3442281;8051.153254;142.4747612;386.7776803;2261.98987;555.0398795;2389.38588;2715.134391;1856.02154;440.4762797;2042.441029;2210.180701;6399.608074;218.0366407;13454.61883;13754.48585;0;0;0;59022.27401;57031.22489;1991.049123
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287652.0688;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9077.505527;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384136.1592;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64960.63856;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56537.04866;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22440.39338;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272682.6317;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12786.32003;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1016278.337;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38812.37417;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1882324.546;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;501687.7722;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6258452.852;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
