current_year;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Coal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COilFFuelExDies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NaturalGas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allbiofuel;0;0;0;0;0;2516422.105;2281592.075;2061642.508;1877599.047;1700581.072;1963348.249;1776049.801;1604975.549;1452876.862;1330561.362
Diesel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Electricity;0;0;0;0;0;10255095.38;10587244.06;11118093.88;11619647.92;11583866.68;12051390.49;12873814.54;14382595.59;16500667.08;18598117.69
PlantedForest;0;0;0;0;0;1344950.12;1367029.864;1391504.739;1418195.473;1425827.046;1484232.275;1489991.931;1536039.607;1556582.302;1559558.969
Cattle;0;0;0;0;0;7094646.331;2710784.264;2658704.411;2564228.751;2928017.231;2858831.505;2774370.837;2728232.202;2717121.594;3107842.323
RestAgri;0;0;0;0;0;20768629.57;21418114.85;22093189.33;22791724.6;23513870.22;24701834.31;25368651.27;26076216.79;26824819.34;27604355.84
Cement;0;0;0;0;0;238040.7675;271848.4061;300391.1241;324411.2149;344577.7236;424208.8625;442420.332;457159.3788;468991.2062;478308.3631
IronSteel;0;0;0;0;0;2305903.057;2801067.727;3239736.215;3626772.505;3966943.201;5358217.151;5723433.804;6037420.666;6305202.645;6530697.892
NonFerrousMetals;0;0;0;0;0;1529789.795;1594192.486;1659686.165;1726316.711;1794334.638;1879646.635;1952055.903;2026328.497;2102749.256;2180796.126
Chemical;0;0;0;0;0;4751605.527;4861066.472;4959152.585;5046253.584;5123351.222;5397960.777;5476007.257;5543643.548;5602108.236;5650527.867
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestFoodBeve;0;0;0;0;0;41060080.98;41568978.26;42083093.97;42592030.45;43095626.18;43777737.4;44283448.74;44781027.63;45275054.63;45755077.57
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestIndus;0;0;0;0;0;48140171.72;48653869.42;49150177.83;49626575.55;50087927;50813757.24;51265403.12;51706095.83;52141611.32;52557395.98
Transp;0;0;0;0;0;13790982.35;15199205.26;17317665.18;20976670.65;24501597.06;30767565.75;32590949.4;34711839.8;37445195.7;39578539.12
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
