IC_Q;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;RestIndus;FreightTrans;PassTrans;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;8.64;0;0;0;0;3207.888;0;0;0;100.8;7446.384;672.984;123.768;8.28;38.448;571.68;0;0;0;0;0;0;0;12178.872;1904.112;10274.76
COilFFuelExDies;0;42635.664;8.496;0;33742.512;3997.944;0.576;1.584;9.144;2596.248;166.176;1282.896;1768.608;54.864;254.304;1705.32;868.392;4242.744;497.016;19456.344;0;0;35503.92;148792.752;132103.08;16689.672
NaturalGas;0;10537.272;3337.992;556.632;1451.664;11816.208;0;0;0;8.352;885.024;426.672;1600.056;106.488;493.632;3641.544;0;1006.2;113.4;336.096;0;0;0;36317.232;24986.016;11331.216
Allbiofuel;0;0;0;2625.912;0;2107.512;119.376;324.072;1895.256;224.352;2480.472;7.632;48.456;280.656;1301.328;8438.832;1434.168;1621.512;131.688;14769.936;0;0;796.032;38607.192;37678.32;928.872
Diesel;0;1432.152;0;0.216;2.736;1750.176;217.368;590.112;3451.104;40.176;23.688;6.912;12.168;28.512;132.264;508.392;20636.856;5789.664;4.608;0;0;0;468.936;35096.04;30564.936;4531.104
Electricity;0;822.312;44.136;465.912;119.952;6159.744;84.672;229.824;1344.024;440.208;1535.616;1667.016;1396.728;286.416;1328.184;5598.864;0;127.224;8350.272;8111.088;0;0;13.608;38125.8;35981.28;2144.52
PlantedForest;2.016;2.88;0.072;83146.68;0;0;1880.568;1542.096;6784.92;37.656;1741.752;13.464;472.536;483.552;1162.584;68367.816;5.616;0.144;2402.784;19315.008;0;2751.048;3848.184;193961.376;185468.688;8492.688
Cattle;0;0;0;0.288;0;0;1.44;62.856;111.024;0;0;0;0.576;2438.064;1824.408;3.96;0;0;37.512;89.496;0.072;1183.104;108;5860.8;5852.88;7.92
RestAgri;0.216;18.288;0.432;13105.44;0;0.36;257.832;1991.232;7206.768;2.592;45.864;7.272;2276.136;12634.056;51307.992;4120.056;41.544;2.088;12703.464;79497.648;53.424;963.432;68749.992;254986.128;247678.488;7307.64
Cement;0.072;97.704;30.24;2.52;0;1199.448;14.904;143.496;349.416;3349.08;3.528;2.592;165.672;1.368;7.92;36521.424;0.144;0.504;11544.84;0;0;0;165.6;53600.472;52374.24;1226.232
IronSteel;1.368;487.296;18.648;2.304;0;64.368;4.032;53.712;143.784;62.28;3582.936;200.376;29.808;41.328;150.624;23177.592;9.504;3.024;2793.6;86.4;0;31.536;13239.648;44184.168;39230.856;4953.312
NonFerrousMetals;0.072;0.504;0.072;1.368;0;2.304;0;0;0;4.752;426.384;2239.344;120.024;42.12;115.128;5788.728;2.304;1.008;482.976;103.968;0;0;5165.064;14496.12;11847.096;2649.024
Chemical;60.192;3338.928;106.704;770.904;729.144;199.368;249.48;2593.584;46441.224;686.52;1182.816;1014.048;67133.16;674.208;4583.376;53191.584;364.464;126.648;22466.016;50358.096;0;0;19168.416;275438.88;191207.52;84231.36
BovineMeat;0;0;0;52.632;0;0;0.36;24.264;30.24;0;0.072;0;72.432;69.984;67.248;112.104;0;0.144;674.496;4266.432;5.184;0;875.16;6250.752;6099.264;151.488
RestFoodBeve;0.504;6.84;0.144;351.648;0;0.792;252.072;2786.112;4377.024;0.864;0.36;2.88;1302.48;12161.448;30890.952;1048.68;27.288;30.168;47535.408;327407.256;155.88;0;77934.168;506272.968;484779.816;21493.152
RestIndus;40.896;6474.816;362.448;962.352;168.12;6290.64;141.408;2084.328;6816.528;2185.632;14174.28;6153.624;10222.2;3339.432;20044.152;339134.76;12607.272;5985.144;181083.456;445869;6318.648;457655.688;157945.392;1686060.216;1428596.64;257463.576
FreightTrans;635.616;39619.152;1459.656;6112.08;3189.528;8383.68;859.824;2487.384;61380.72;11800.008;16186.68;2026.08;32064.336;20469.816;89150.688;246339.576;93424.176;58618.872;163137.096;4845.888;0;0;27615.816;889806.672;870122.16;19684.512
PassTrans;4.032;5300.352;206.784;324.72;23.04;915.696;250.272;1898.928;6998.544;375.336;639;160.416;16331.544;2491.776;9845.352;41623.848;12356.064;1309.248;207221.904;635051.304;0;0;3850.416;947178.576;907945.92;39232.656
RestComp;68.832;26650.728;1155.168;5120.28;2339.28;13812.912;181.944;1368.936;9371.592;1178.784;17105.256;4929.12;32990.04;12651.48;84677.04;227454.48;35376.984;22926.456;1218416.544;1360640.016;862561.512;157006.224;73910.952;4171894.56;4035246.624;136647.936
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
