2023;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;2.404;0;0;0;0;3990.034959;0;0;0;79.65661209;9093.408048;1110.704349;177.5494536;9.511356272;44.10313379;124.5942346;543.4411348;0;0;0;0;0;0;15175.40728;2519.831697;12655.57558
COilFFuelExDies;0;64852.84583;427.9105982;0;57791.22406;2366.282003;10.08374546;27.37444614;160.0938292;3611.521952;256.8519726;1892.814311;1432.633583;68.40126115;317.1692748;261.9219153;1746.907254;7364.383745;699.03633;25061.26507;0;0;143903.9861;312252.7073;290059.5339;22193.17341
NaturalGas;0;22833.36238;5838.515003;154.61424;2173.867811;12541.53151;0;0;0;25.06832535;1162.249137;988.783438;2489.296371;140.7985608;652.8677495;995.0597199;4667.134017;1422.191404;269.8425038;815.2501892;0;0;0;57170.43236;47319.06504;9851.367328
Allbiofuel;0;0;0;2529.296888;0;2570.779488;132.1388641;358.7187155;2097.892774;317.9195372;3771.168174;12.62813676;60.9043413;370.4849781;1717.898908;10634.57393;3388.739786;4680.206053;177.7562297;22122.11688;0;0;1264.786079;56208.00976;55949.01554;258.9942282
Diesel;0;2619.303969;0.000431797;0.252505373;3.973318068;532.0032405;305.1253875;828.3269865;4844.300351;56.36013545;27.86146467;11.01815673;14.72824774;37.30394717;172.974382;183.6232761;673.9751765;39201.94267;8.007934128;0;0;0;5594.744545;55115.82612;53844.16912;1271.657002
Electricity;0;1143.081724;62.75196187;652.9215466;182.0830438;8669.591844;134.3969512;364.8487676;2133.743126;628.9689612;2434.99157;2882.612481;1850.523404;387.2204805;1795.499629;2118.443844;6395.446445;299.004342;13528.21803;15343.25186;0;0;3.811243226;61011.41125;58549.73161;2461.679643
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
