2029;Coal;CrudeOil;NaturalGas;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;0.183808329;0;0;0;0;0;0;0;0;3754.896009;0;0;0;0;0;0;67.72142595;8857.021542;490.2574935;1279.358445;170.0356285;8.884696811;41.19738141;0;144.0705694;39.10417568;3.005472369;7.754859223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14863.49151;2413.546615;12449.94489
CrudeOil;0;0;0;45286.19908;0;64649.39852;0;23434.7224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191945.6656;325315.9856;307713.5734;17602.41221
NaturalGas;0;27554.40332;7243.53257;1582.510841;0;2259.151268;0;818.9184126;0;14059.55285;0;0;0;0;0;0;66.48981023;1177.023196;927.6047581;1357.858634;2604.211487;140.3598792;650.8336302;228.9825477;1208.8199;1528.090411;631.3736709;1629.099633;0;0;0;0;1179.519335;0;0;0;3.166962245;18.14708819;18.24244675;312.0817547;1058.686819;0;0;0;68258.66123;63137.10178;5121.559456
OthFossFuel;0;782.7476441;748.9644089;1349.029279;0;1882.500915;0;748.8014272;0;1515.315369;17.25124045;29.70424498;69.66590374;152.1495518;46.83211754;22.36832573;3537.354153;242.8775236;808.2911792;1920.647586;1053.852955;65.44850301;303.4776536;32.64739808;182.1402223;215.844633;160.8711262;415.0871421;0;0;573.4020495;1507.126268;0;0;3692.191049;0;17.68545632;101.3398679;101.8723844;470.835267;7698.473113;0;0;14106.44179;44573.23775;41393.14218;3180.09557
OthBiofuel;0;0;0;0;2417.982212;0;0;0;0;3245.077154;93.01981612;160.1672305;375.6431067;820.4003288;252.521839;120.6114744;327.8559188;4239.164773;0;14.73439168;57.22615401;369.5060172;1713.359572;64.7373889;12056.21893;2517.450534;243.6668329;628.7204653;0;0;0;0;0;0;0;0;0;0;0;163.5140266;4925.660565;0;0;0;34807.23873;34807.23873;0
Diesel;0;1309.103455;0.00005;1654.78663;0;4.046692249;0.257175266;1.711947182;0;100.2430119;321.5681618;553.6958044;1298.592798;2836.112096;872.9643528;416.9521263;58.75136037;27.18302467;624.8268583;12.48865935;13.66564602;36.69890905;170.1688854;2.004068881;200.3821256;18.79635833;30.23343171;78.00970295;30159.06321;1266.983997;0;396.0995291;8728.469394;0;0;133.5499322;0.144215653;0.826373656;0.83071605;5.569231215;0;0;0;11642.66125;62977.44117;62977.44117;0
Biodiesel;0;0;0;0;0;0;0;0;0;0;23.83409114;41.03900147;96.24951344;210.207857;64.70264914;30.90379012;4.404752979;2.135555996;29.12495009;0;1.183444249;3.127445028;14.50162548;0.169839752;12.78993238;1.765203608;3.661940952;9.448709911;2176.911994;71.65185802;0;0;630.0298381;0;0;0;0.015513293;0.088893101;0.089360213;0.30766281;0;0;0;0;3428.345422;3428.345422;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1635.546159;0;0;0;0;0;0;0;11994.00517;0;0;9901.433003;23530.98433;23530.98433;0
Ethanol;0;0;0;0;0;0;0;0;0;0;0.684554527;1.178708015;2.764445256;6.037517411;1.858367124;0.887607978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2550.735376;0;0;0;0;0;0;0;20637.76804;0;0;1472.467098;24674.38172;24674.38172;0
Electricity;0;927.5450081;63.87926564;145.6028082;47.15089476;191.0402401;12.14098366;80.81929155;603.8237139;9267.434769;153.9256246;265.038591;621.5998078;1357.567004;417.8634555;199.5832427;669.3748647;2718.469185;1785.941886;3388.639096;1799.153956;391.4238709;1814.990297;584.1827449;2350.513413;351.6950025;1118.13775;2885.070889;0;0;0;0;0;432.0728133;0;0;268.5375446;1538.753584;1546.839362;12013.35894;18140.13897;0;0;0;68152.30887;66181.00047;1971.308397
