2030;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;-0.7;0;0;0;0;3721.6;0;0;0;154.3343627;15550.93499;1492.772945;77.16796684;5.026589717;23.30775469;60.49983737;383.8819994;0;0;0;0;0;0;21468.82644;2758.246966;18710.57948
COilFFuelExDies;0;71985.77075;1745.395989;0;53017.18546;1258.458176;2.031112354;5.513881324;32.2468031;1811.71995;56.95131076;2042.82476;3438.490853;64.29385951;298.1236962;408.4923704;1290.035727;8309.803751;789.1474477;31611.95397;0;0;214032.7088;392201.1487;368214.4348;23986.71388
NaturalGas;0;30275.99435;14754.56627;0;1626.037257;11545.54355;0;0;0;2.506551164;695.2905706;440.4603911;1101.624077;83.14628945;385.5403817;502.1474596;2598.032985;594.6621034;236.3378524;406.6575552;0;0;0;65248.54765;65248.54765;0
Allbiofuel;0;0;0;2136.004066;0;3648.307687;224.8655882;610.4448945;3570.061661;331.792273;3855.940165;16.7430482;68.14452293;452.1387743;2096.518759;11486.47994;3719.578652;4098.703889;184.9264036;17261.58315;0;0;0;53762.23348;53762.23348;0
Diesel;0;1357.110143;1.84E-06;0.244145061;3.841786542;90.327891;389.175737;1056.499323;6178.719427;63.65745134;45.05681317;13.85337849;18.22992589;45.26249692;209.8773193;226.8429785;719.7871332;47643.88007;27.52930824;0;0;0;0;58089.89533;51068.99152;7020.903813
Electricity;0;1164.312122;62.61152433;659.5950564;174.6293261;12782.39643;201.8439159;547.9477273;3204.559807;680.1509171;3093.344873;3713.198422;1991.482452;487.0352279;2258.329853;2603.890888;8081.02089;277.469817;18503.22865;19362.84926;0;0;0;79849.89717;78541.94476;1307.952411
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370088.0653;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11678.9581;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;494222.7901;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77921.15029;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64389.91129;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30040.78396;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281049.7459;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13839.08541;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1099953.909;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41182.70934;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1997281.184;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;609281.8546;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8052014.776;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
