2019;Coal;CrudeOil;NaturalGas;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;0;0;0;0;3410.8;0;0;0;0;0;0;121.1332535;8586.767805;305.2318995;963.5011372;201.9688072;9.287634822;43.06576154;0;134.8304496;40.22041826;3.018691728;7.788968426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13827.61483;2080.167836;11747.44699
CrudeOil;0;0;0;42813.74268;0;47557.01635;0;21744.04097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76773.6;188888.4;171286.2373;17602.16272
NaturalGas;0;13242.20132;8863.945125;1444.502958;0;1604.537387;0;733.627325;0;3323.177724;0;0;0;0;0;0;3.659073923;1089.999923;404.4544525;552.9009621;1981.126177;139.8047579;648.2595923;205.8702975;769.372575;1236.07152;579.5855674;1495.473566;0;0;0;0;1592.571;0;0;0;2.812489413;16.1159147;16.20059994;140.213687;603.9881649;0;0;0;40690.47216;32031.76452;8658.70764
OthFossFuel;0;893.2688563;859.5261787;1521.108314;0;1637.757477;0;816.6394133;0;1460.053224;1.695216027;2.918927036;6.845812445;14.95117754;4.602020154;2.1980532;2854.479597;179.3433324;506.8257026;1715.377607;1642.705953;68.85276892;319.2628677;41.95205853;358.7037307;422.7128644;163.471464;421.7966545;0;0;470.5235884;938.4438917;0;0;3029.746724;0;19.13118107;109.6240508;110.2000987;413.2610305;6530.748576;0;0;13700.75028;41239.4787;39289.86513;1949.613564
OthBiofuel;0;0;0;0;1763.53925;0;0;0;0;1675.550763;134.5494881;231.6755696;543.3529094;1186.676656;365.2628611;174.4597315;283.5134414;2948.65335;0;11.20063804;64.17529813;402.8156575;1867.812784;62.19153367;10379.48708;2190.127597;242.2040248;624.94606;0;0;0;0;0;0;0;0;0;0;0;175.4719155;5983.404913;0;0;0;31311.07152;31311.07152;0
Diesel;0;1336.29904;0;3.551379474;0;3.595250772;0.228473174;1.90663375;0;85.41376112;259.8507756;447.4270195;1049.358692;2291.787606;705.4195379;336.9280491;48.13273632;33.27771268;369.3434608;9.169777025;17.23881455;39.84380711;184.7514387;1.422828361;181.1890096;16.02528157;31.91864606;82.35797119;28765.33135;1100.340813;0;241.8017338;8325.103223;0;0;81.52649218;0.179989962;1.031364905;1.036784478;14.54548659;0;0;0;0;46067.33494;45874.27783;193.0571104
Biodiesel;0;0;0;0;0;0;0;0;0;0;20.30824223;34.96797833;82.01103291;179.1111754;55.1309913;26.33209933;3.753144599;1.819636763;24.81640847;0;1.183444249;2.664792662;12.35635633;0.144714845;10.89787915;1.504071719;3.120218993;8.050933785;1854.874843;61.05218278;0;0;536.8276259;0;0;0;0.013218365;0.075742877;0.076140887;0.262149323;0;0;0;0;2921.355025;2921.355025;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2620.427551;0;44.35484415;0;0;0;0;0;19216.46871;0;0;338.798897;22220.05;22220.05;0
Ethanol;0;0;0;0;0;0;0;0;0;0;0.515516246;0.887647524;2.081815814;4.546662372;1.399477186;0.668429343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1740.099698;0;0;0;0;0;0;0;14078.98847;0;0;874.1172644;16703.30498;16703.30498;0
Electricity;0;904.6358919;61.35119682;160.018273;44.05622097;161.9950286;10.29455819;85.90921984;591.3816746;11078.05779;128.0036457;220.4045362;516.9187506;1128.94475;347.4927962;165.9722528;518.9649572;2216.374988;1148.973986;2436.277635;1871.946089;428.0333322;1984.744423;568.5010472;2085.289465;330.2583388;1153.599357;2976.570573;0;0;0;0;0;199.6651135;0;0;286.8779145;1643.846188;1652.484202;8395.854925;12871.25088;0;0;0;58374.95;56188.9;2186.05
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SugarCane;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestLivestoock;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MiningPellet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
