;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;43800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43800;990;42810
Natural_gas;0.4976897878;0;0.1587266867;779.0559288094;5609.7036059966;1983.3806191995;7933.6558848036;51.3008898194;401.423506173;198.6423899434;70.7029892284;34.571682233;3296.3693351078;231.5467941351;4578.7369765736;6539.0874523525;0;0;0;31708.8344708498;18.2176641726;31690.6168066772
Coal;0;0;2572.1519161009;0;760.2196747515;137.820024561;2386.5;0;0;0;0;0;2.2137192705;0;0;0;0;0;0;5858.9053346839;2209.3991364156;3649.5061982683
AllFuels;0;0;0;0;1500.3485008524;322.5144015623;340.8228118924;110.2115180123;1000.5354246134;56.8736818308;17348.102907202;1298.4254731757;2797.9323173967;63.8300845264;2109.7337664896;20318.7443762801;0;0;0;47268.0752638341;28894.7346708357;18373.3405929984
Electricity;60.3044935872;2.7479146346;19.2121462475;1125.9079555348;0;1574.114678302;7283.8539196887;25.3466197241;560.3036198295;272.3021851847;236.8799376699;1343.7037250981;2784.9958170239;323.1911068261;19624.1438926743;16152.2953472233;0;0;698.176433323;52087.4797925718;52087.4797925718;0
HeatGeoSol_Th;0;0;0;0;0;0;607.5780333277;0;77.7572370318;0;0;0;191.3520461276;44.8514817863;1799.501080893;1145.4443630019;0;0;0;3866.4842421683;3866.4842421683;0
Heavy_Industry;0;597.96665;53.564869;458.90631;2093.2548;44.386341;40632.831;2206.9819;15400.172;4893.8877;151.72254;39.58505;9213.4819;279.68753;61813.99;30207.156;18022.301;104.50134;82830.536;269044.91293;155723.901992386;0
Buildings_constr;0;0;0;0;0;0;0;1475.3979;0;0;0;0;0;2.826678;0;0;0;39029.751;0;40507.975578;79010.2573294557;0
Work_constr;1.42935;421.71975;3.635659;215.201788;820.69788;20.765562;589.20427;11894.203;16014.249;286.2934;71.925977;18.765791;485.87944;4281.7077;18313.556;11479.046;0;114269.97;0;179188.250567;349504.249309194;0
Automobile;0;0.173247;0.012898;0.483123;0.606472;0.01286;4.848412;0.242911;4.06087;350.61128;9.654702;2.518952;9.00222;0.483526;259.05322;2260;0;457.215;1517.2102;4876.189893;2895.3209688269;0
Load_PipeTransp;0;73.386389;5.584991;386.07568;256.89796;5.447383;2608.6509;269.72895;1198.5674;287.91256;80195.247;20923.278;1979.4175;680.24721;211205.28;5683.2769;24790.997;0;7299.4709;357849.466723;561471.9;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275495.5;0;0;0;275495.5;275495.5;0
Agri_Food_industry;0;9.269222;0.3759509449;15.4915347971;41.8035522667;1.1017360141;2073.3963572945;83.4042702391;977.6253420315;102.4807316014;21.8084327429;5.3074576121;69191.0173030196;141.5623611502;56409.1701079898;120634.04449569;145.03184;930.96627;27838.943;278622.799965394;219328.663678362;0
Property_business;0;851.45223;57.451381;1178.73023;1656.9891;41.925672;23613.793;11746.856;5993.6645;2094.8376;9929.4892;2590.6456;6378.0949;123138.87;674605.8;2925764.086252;183264.68;85750.13;0;4058657.495665;4223682.987015;0
OthSectors;214.23312;1994.0293;125.09722;3862.2404;7777.7023;160.83157;58778.498;11290.71;60452.38;34655.3;17392.948;4537.8935;39852.266;41545.523;980621.28;522226.03;469111.95;175274.22;279122.74;2708995.87241;4569477.31618983;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
