;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;AirTransp;Agri_Food_industry;Property_business;OtherSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;44300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44300;990;43310
Natural_gas;0.522012305255617;0;0.19424155594888;784.876444558859;5629.06365326609;1877.27441664485;7445.14378718338;31.3544500747;245.3449311973;168.9682705909;100.311310723278;54.4013181576386;30.3291693882042;0;2894.71745656444;198.4121051108;6027.87882126099;7826.43420071416;0;0;0;33315.2265892968;18.2624580078826;33296.9641312889
Coal;0;0;3001.13354341798;0;723.972496909145;124.523010343656;2784.4;0;0;0;0;0;0;0;2.21371927049744;0;0;0;0;0;0;6636.24276994128;2640.08526407067;3996.1575058706
AllFuels;0;0;0;0;1519.83709106733;301.301249530887;341.50881116788;67.3598752641;611.5145006144;48.3776280774;19.5760520180184;15316.1227069754;1168.31643773447;1057.3752901641;3118.14407900149;54.6959049362;1516.73927683983;25353.223743422;0;0;0;50494.0926468135;30817.4921421092;19676.6005047042
Electricity;63.0207094832168;2.87159583784895;23.4250045363276;1204.3902286851;0;1488.57964976361;6540.03336868494;15.4915309559;342.4504318824;231.6244247862;137.508357438407;165.23658881598;1053.07497648393;0;2503.87598334393;276.9419809848;15790.4399342727;13861.6674446914;0;0;7402.99984470659;51103.6320553533;51103.6320553534;0
HeatGeoSol_Th;0;0;0;0;0;0;571.785986756583;0;47.5242323289;0;0;0;0;0;149.608696548781;38.4331683442;1429.19728691901;1262.24436300186;0;0;0;3498.79373389933;3498.79373389933;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229207.565043605;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55287.5680075845;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244566.219700413;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2140;0;0;0;2140;2646.3704204806;0
OthTranspEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88797.2332932399;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;398756.9;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216893.3;0;0;0;216893.3;216893.3;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6835.93564366518;0;0;0;6835.93564366518;14381.4787546272;0
Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114532.675193537;0;0;0;114532.675193537;253005.79537994;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2777786.23094733;0;0;0;2777786.23094733;4010059.62864439;0
OtherSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3272473.74716771;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
