;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;AirTransp;Agri_Food_industry;Property_business;OtherSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural_gas;0;0;0;0;2149.61306964746;854.491779202967;1810.10743004434;8.59077417546801;67.2218104285208;33.0616012712803;19.3299899012908;3303.74461542157;299.119321615448;0;1370.43066824989;38.7744974106537;510.391455863011;2667.77237552453;0;0;0;13132.6493887564;13132.6493887564;0
Coal;0;0;744.760224419549;0;0;0;744.760224419549;0;0;0;0;0;0;0;2.21371927049744;0;0;0;0;0;0;1491.7341681096;744.760224419549;746.973943690046
AllFuels;0;0;0;0;0;0;0;18.4558643351365;167.548241710082;9.46593016754595;3.77230528728031;1936.12283957118;219.464986409648;1523.10155295998;0;10.6888953329596;51.9778794263716;1420.26213264818;0;0;0;5360.86062784836;3271.83382478476;2089.0268030636
Electricity;0;272.415090769682;4.79036288530917;85.6397152594486;0;1981.35087579751;8960.64549647641;4.2445089535057;93.8276486937038;45.3213751326714;26.49786092378;2471.5425191499;1244.43186131355;0;3819.34804556217;54.1211239031982;17628.8341379299;15587.7639982086;0;0;1751.544145399;54032.3187663583;54032.3187663583;0
HeatGeoSol_Th;0;0;0;0;0;0;329.178928683519;0;13.0211165186285;0;0;0;0;0;88.0154959277229;7.5107654626942;3524.9808801385;2128.50562056121;0;0;0;6091.21280729228;6091.21280729228;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312730.321729651;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81643.774192404;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361153.690348094;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2260;0;0;0;2260;2790.82002121395;0
OthTranspEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98520.848809159;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439165.38318963;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309219.260412202;0;0;0;309219.260412202;309219.260412202;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6409.15894294588;0;0;0;6409.15894294588;13483.6236;0
Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120634.04449569;0;0;0;120634.04449569;348783.325104221;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2925764.086252;0;0;0;2925764.086252;4223682.987015;0
OtherSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4626117.89700123;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
