;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;45563.0190435527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;45591.0190435527;939;44652.0190435527
Natural_gas;0.5476893964;0;0.2458364575;260.1762910582;2991.6568879523;1321.9996879318;6248.6035655836;35.6052417025;278.6068821154;177.4375754064;43.92271609;24.6540503635;2825.5101074124;208.0399057363;7962.7096874535;12130.4259841612;0;0;3336.2682717111;37846.4103805319;34.5915735168;37811.8188070151
Coal;0;0;3292.4562707696;0;3237.7699636485;191.2716309915;3637.5225187381;0;3.0692557897;2.3118087405;0;0;537.8715786507;0.2534804252;123.3837907629;29.4113572867;0;0;103.564801203;11158.8864570065;3268.1342277704;7890.7522292362
AllFuels;0;0;0;0;1744.2729123941;358.5809981476;1773.7915450608;71.6770341678;650.7070504925;47.604609744;14342.153721782;952.0410727705;3384.5308883394;53.7399549386;3541.2772613431;31170.6284439158;0;0;16932;75023.0054930961;39587.3054930961;35435.7
Electricity;52.9070644157;3.0335139195;23.6988405398;1350.7405166131;0;1262.949900418;6121.8704966718;16.9493283128;374.6759966688;234.3517451808;130.6317322758;809.5186193956;2469.5958036693;279.7761442518;13412.6942900272;14252.8226886374;0;0;5279.7936371453;46076.0103181427;44416.1417366779;1659.8685814648
HeatGeoSol_Th;0;0;0;0;0;0;842.9504033873;0;51.5772108464;0;0;0;166.6039788523;38.5134712854;1071.430995289;1233.6070495399;0;0;0;3404.6831092004;3404.6831092004;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
OthSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
