;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;AirTransp;AgriFood_Indus;PropertyBus;Comp;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;40735.5686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40735.5686;600;40135.5686
Natural_gas;0.260347373;0;0.12287631;403.1189259;4604.232186;1757.67586;5186.323285;8.852412756;69.26910194;47.65073121;29.41416781;864.6951468;65.77793127;0;3078.138831;56.0183912;4658.153817;8464.488273;0;0;0;29294.19229;3088.691761;26205.50052
Coal;0;0;2140.431006;0;0;0;2140.431006;0;0;0;0;0;0;0;2.21371927;0;0;0;0;0;0;4283.075731;2140.431006;2142.644725
AllFuels;0;0;0;0;808.6852723;269.5147277;910.4747107;19.01795176;172.6510512;13.64297181;5.740262738;11380.42277;847.6152344;1625.170087;2288.160752;15.44248824;764.9865171;18478.80283;0;0;0;37600.32763;22948.18543;14652.1422
Electricity;23.67826744;51.98615522;11.16348697;707.0141964;0;1558.17853;6083.19156;4.373778711;96.6852413;65.32038926;40.32141412;690.9516591;1027.649618;0;2478.660232;78.19000873;15634.45322;13324.95053;0;0;5338.388011;47215.15629;47215.15629;0
HeatGeoSol_Th;0;0;0;0;0;0;801.1257189;0;13.41768455;0;0;0;0;0;187.3386438;10.85097231;2739.312697;2155.579028;0;0;0;5907.624745;5907.624745;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229207.565;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55287.56801;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244566.2197;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2140;0;0;0;2140;2643.337254;0
OthTranspEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88797.23329;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;367237.661;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224894.2349;0;0;0;224894.2349;224894.2349;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6385.582524;0;0;0;6385.582524;13434.0234;0
AgriFood_Indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114532.6752;0;0;0;114532.6752;253005.7954;0
PropertyBus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2777786.231;0;0;0;2777786.231;4010059.629;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3272473.747;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
