current_year;2030;2040;2050
Crude_oil;83.1089876770997;92.7928184798062;107.77985224879
Liquid_fuels;748.154929764981;835.329686148774;970.244374802945
Gas_fuels;25456.2418369023;28422.3944241425;33012.915458081
Solid_fuels;0.0998433794506528;0.111477095855996;0.12948184048422
Elec_heating;11264.8584369937;12577.4358870298;14608.8264564106
Steel_Iron;2256.01622229049;2518.8864604614;2925.71359494903
NonFerrousMetals;901.148431969135;1006.14993887256;1168.6539274094
Cement;3017.21568004025;3368.78061853166;3912.87475983871
OthMin;540.941874158329;603.972236214967;701.520219431492
ChemicalPharma;3738.45470658367;4174.05816962661;4848.21325799166
Paper;2534.63882543134;2829.97407397042;3287.04518902845
Auto_indus;11250.5599073387;12561.4712975926;14590.2834148375
OthEquip;10794.2116307522;12051.949475989;13998.4683633104
Electronics;4786.24684326391;5343.93868749903;6207.04200606408
Food_industry;11705.7763105779;13069.7293603538;15180.6305969373
OthManuf;39343.8021760667;43928.1285414468;51022.9916638789
LandTransp;19008.3872404126;21223.2380166446;24651.0182053868
NavalTransp;3994.24396434959;4459.65190417162;5179.93343867719
AirTransp;5697.15667244581;6360.98741824705;7388.35499693628
AgriForest_Fish;37330.0800804828;41679.7682364184;48411.4970951398
Construction;15050.0223129006;16803.6457624044;19517.6144790459
Property_business;60113.8972844874;67118.3480239909;77958.6799034763
Compo;491500.968350263;548770.492981734;637402.80359022
