2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gas_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0.0957912217745872;0.120816792390455;0.777247195374648;0.016648153801449;2.39519033676677;0.389980049073295;0.45169117771786;0.0852339298045037;0.570411684076294;2.0843840011239;0.129235257007823;3.06933293462643;1.75052074564245;1.48871483479382;0.923597876352013;1.08414035997218;2.12444784649129;0.977246009385995;1.1472018371053;1.62980304645865;1.24980004426076;31.6082075486062;41.1517757078267
NonFerrousMetals;0.143891584330971;0.18148343187184;1.16753214216684;0.0250078157716086;3.59790517279984;0.585803647547936;0.678502246720356;0.128033080392117;0.856836768778014;3.1310313275012;0.194129123084317;4.6105600348423;2.62952281877617;2.23625434801931;1.3873709850548;1.62852786657882;3.19121273115707;1.46795785633225;1.72325487482482;2.4481882385239;1.87737148701143;47.4798731843476;61.8156245941408
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto_transport;51.0108000565873;68.9865259556073;892.824496411627;10.4757317191848;2751.35712159502;247.18881368175;286.304406176445;31.7059285957589;212.185829833156;558.757308993228;74.6533465621938;400.034101126791;133.928956901427;41.5698745606496;437.456646070911;295.700805126158;5708.8737528546;2626.08192631312;3082.79182654148;558.757308993228;1762.73091012644;59.3598988768787;20110.7078967337
OthEquip;67.592782002728;106.28516440915;927.927271680505;15.6124123274183;2859.53098007666;367.509182650053;425.664481882588;56.0607227771267;375.175606277694;875.802436033641;125.547012019345;447.808485392767;254.251433658829;96.6459635837739;829.688609701965;534.457127352778;940.83013644667;432.781862765468;508.048273681202;2214.90472099335;909.667277245966;171.846055939139;9027.99919765229
Electronics;22.4991742321078;55.9783662805862;141.754002467634;5.01530394630387;436.833762706383;112.482721438603;130.282185050866;9.06015841374769;60.6333678458499;345.837686910833;36.2252369523379;174.891301745783;69.408851594798;29.2140629235005;210.39555097237;137.351092599867;595.682403690523;274.01390569764;321.668497992882;67.063581872443;228.805161682453;17.0946385165051;8693.13652479832
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthManuf;35.6482459020942;44.9613925415011;289.24883339132;6.19553096343723;891.358649838557;145.129213603618;168.094715536498;31.7194000930768;212.275985238283;775.693555734231;48.0942839613873;1142.23759945806;651.447938979461;554.018119047571;343.712540678579;403.457659571539;790.603124533772;363.677437285535;426.925687248237;606.523423501774;465.107120265119;11762.8435502017;15314.436882249
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2240.75239847802;0;0;0
Construction;88.5015685434616;26.8941774420742;1885.27947644281;12.3687231521037;5809.73879475234;305.786915628713;354.175174805125;72.3201793929822;483.988892860727;875.212362080676;138.828495066163;322.446659713933;297.140818892425;87.9053754912465;1788.22066962233;1012.76671819788;3493.17214690094;1606.85918757443;1886.31295932651;3559.90561310548;2779.18311467723;178983.880853737;92083.9981778152
Property_business;11.3960951916176;14.3733386141317;92.4675858791181;1.9805984512073;284.951131994833;46.3951673205405;53.7368201712633;10.1401147162888;67.8607677167019;247.975107245103;15.3748669626535;365.152564606388;208.256045623745;177.109506029752;109.87864151531;128.978068286788;252.741424941974;116.261055473308;136.480369468666;193.894495935519;148.686278460872;3760.36692493553;4895.74665175535
Compo;315.183222592184;428.969708036481;572.605113077961;51.2098541038431;1764.55861377086;1184.94200951235;1372.44931651211;315.598718365846;2112.0837306022;9198.77964618149;359.737669626962;16110.8486237445;9200.89933872027;8211.34140467279;1986.96014619084;4185.48931153998;1343.6836537534;618.094480726565;725.589173026837;627.695400925112;1427.52476522449;531.241024896431;104124.131227787
