2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;36716.5872272679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;639.854327635561;36508.1052487464
Liquid_fuels;100.12258909397;1407.599626986;0;230.753348467262;1253.43301222121;131.154795202098;546.10901290157;148.921644753523;183.388349972227;2076.8078905504;0;151.088305091796;57.8883932449006;62.07455441163;55.050091736044;510.263898570651;6096.50645285337;3731.56799973066;10016.4939513894;1772.0811419183;706.038050459887;1.65753698510798;544.260287012542;8271.02270197452;0;0;0;0;45102.8348116067;3180.68419423521
Gas_fuels;22.535834322401;23.0678751107362;905.9740733397;0.283163777076075;2309.37481423064;136.650136126136;140.869107719492;0;506.142081434003;1995.12930308811;570.794283591141;310.309643521162;116.632827260981;58.4773608463142;2539.7459055134;480.694329307321;1269.08728500248;4.60141409103729;17.1915851045585;204.662999152457;400.87888534026;764.499353161764;5796.58004698047;7828.40214709937;0;0;0;0;601.190666421172;24945.3393136884
Solid_fuels;0;3566.17791426805;707.315530674711;2424.57227042871;1648.8139519448;2033.46994025705;0.357406651575414;117.540642142094;103.788940414982;98.8832548645808;14.1435057508666;42.7436039150623;15.8642523428998;6.38621621791128;309.297572270042;52.4958336930928;0;0;0;14.0769670339933;98.2246436723867;0.340488817307055;147.751274856678;37.3480555146192;0;0;0;0;4125.52896225669;2895.96593528711
Elec_heating;20.0706524259749;281.66302534376;67.888308120974;5.80030806071022;810.228208693244;122.185476133752;674.193608998507;291.899146781663;281.084033481057;2462.58626052017;832.804237372544;694.400717256521;340.323490139088;173.643478252723;2101.70761661872;1427.38037350247;2214.57247977224;17.4452721170887;0;586.057456486369;837.719158642774;429.627213481802;15303.8086690384;23396.8819563308;0;0;0;0;50899.6595815129;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24035.4503400633;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30766.6763361871;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6021.93224086472;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30079.9895532072;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123408.635800471;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25133.3014313706;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194925.792605635;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77649.2980358896;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34430.4187811805;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176416.334052062;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283022.337706037;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107051.078420722;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28986.3772692022;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27781.1430595688;0
AgriForest_Fish;0;0;0;11007.9561000495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99051.0361054292;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460081.557532288;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409522.476965685;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3184651.24964594;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
