2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;42940.3572029647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;787.576442419647;41929.2035516122
Liquid_fuels;117.094209033344;1666.5467252117;0;0;1253.43301222121;589.017209234443;576.047711609823;237.387984338639;436.113718725943;2086.3786895348;41.0531771385839;198.530165156419;159.805023440482;81.5660188382191;241.111401862011;670.487209417311;7962.67672133387;3763.94112677202;9620.09233494499;2496.8109655513;731.160307223922;11.2899855878362;3707.12138046374;18372.6491615508;0;0;0;0;51961.4855316936;10600.513476861
Gas_fuels;27.7386452759982;21.8370081695416;784.088383286985;0;1663.41914774994;145.414311551018;168.876550081484;589.631390914503;504.405062644616;2104.79549227734;668.930595766718;284.552365754015;121.930191225412;53.6234426460393;2331.42682262485;440.794256526577;516.040027295028;1.38821523115953;13.3353049056324;168.520173928618;421.413100296604;741.676433037156;5623.53230945003;9356.33680460979;0;0;0;0;563.853897664484;23475.7510232442
Solid_fuels;0;3435.56617994119;649.042952445584;208.528366408144;1911.70910272645;2667.15382687553;0.376721761350401;156.493113236348;119.714593330715;240.667230335673;17.6222288925909;30.8664365199908;8.32229497127525;4.61167799245005;308.410047057313;37.9088137133156;0;0;0;4.63822770840956;103.25600131647;0.395317105259907;171.543390871864;37.1906519978729;0;0;0;0;4247.46790628804;3711.10583160403
Elec_heating;24.7043308952874;324.494663746647;8.05559220826629;0;847.790126730904;125.413233098946;688.099187532219;415.668630339849;241.922361134101;2111.79108830207;638.100475979017;559.172724966901;302.907231382227;139.828048120286;1879.41855365711;1149.41150430984;1300.18625227282;6.97810884683547;0;617.447433587806;880.629659121199;391.239350489743;13936.3894460273;18275.3024235597;0;0;-7028.88916524541;0;52130.8359418681;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16808.2207202754;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22536.9375745846;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5312.66879248003;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23920.2742991418;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86780.0695368458;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19686.2209892701;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156316.461067226;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62091.1922058925;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27531.7715560007;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141493.274676116;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226316.066197187;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101882.416450081;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31583.675950242;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25826.5922255691;0
AgriForest_Fish;0;0;0;2680.4407752064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69866.3524025539;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;334185.827278865;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;354628.265473267;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2612770.32104284;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
