2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;36716.58723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;639.8543276;36508.10525
Liquid_fuels;100.1225891;1424.997652;0.0;0.0;1253.433012;1311.0299653239874;382.6492672174202;238.11920591248332;373.8771924487687;1872.6679540303057;24.799270885026594;327.98554265530095;52.96511099039056;134.75269580087163;25.849103268578943;101.20135442526805;6096.506453;3731.568;10016.49395;1772.081142;706.0380505;1.657536985;544.260287;8271.022702;0;0;0;0;45102.83481;3180.684194
Gas_fuels;22.53583432;23.35299559;813.0160112;0.0;2309.374814;658.7988714774137;139.21177783377004;1122.9646539994403;420.13312390011566;2158.9389549758744;875.914305030677;286.15515543397635;165.4225703544982;79.70923612116538;2248.2562076167424;529.9845673284037;1269.087285;4.601414091;17.1915851;204.6629992;400.8788853;764.4993532;5796.580047;7828.402147;0;0;0;0;601.1906664;24945.33931
Solid_fuels;0.0;3610.256111;634.7409582;196.0283988;1648.813952;2832.6344770701394;0.5274489219394918;320.88957497820815;605.9989886351096;2238.495273289313;15.666396281957862;24.375445071718996;6.800808196688747;3.6418750032224607;427.23303070914596;16.250339987862223;0.0;0.0;0.0;14.07696703;98.22464367;0.340488817;147.7512749;37.34805551;0;0;0;0;4125.528962;2895.965935
Elec_heating;20.07065243;281.6630253;60.92258388;0.0;810.2282087;464.8423726126447;1308.5011625792658;766.6724604615396;560.6782434192335;4034.745747363778;882.5388625003305;936.4170823823681;547.0057844581538;349.29604823027023;3520.169699909754;2048.1768196970393;2214.57248;17.44527212;0.0;586.0574565;837.7191586;429.6272135;15303.80867;23396.88196;0;0;0;0;50899.65958;0.0
Steel_Iron;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;26690.49229;0.0
NonFerrousMetals;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;34212.93264;0.0
Cement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;7024.009883;0.0
OthMin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;32423.81686;0.0
ChemicalPharma;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;129130.2203;0.0
