2040;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;39828.4722151163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;707.289414424121;39602.3205132302
Liquid_fuels;108.608399063657;1545.77218877221;0;0;1253.43301222121;340.897385917426;560.569943222307;191.269888243048;304.667949209513;2080.65487229981;20.7001320117785;173.349333776587;108.574969952741;71.2204868880934;148.968198273121;585.445093276573;6085.7657923843;3693.27171915072;9677.67554237475;2072.70552370876;688.771723324343;6.30567510601931;2070.4989233084;11830.4586046978;0;0;0;0;48459.4679121558;4308.06573099891
Gas_fuels;24.9109154584456;22.5812474257511;803.322204093989;0;1515.54624350483;138.945233024308;154.538650460931;250.923539381577;501.223698287079;2041.63038250128;620.317430982556;292.726012335632;117.662934034042;55.1637533987436;2387.2939728713;453.455885462636;1098.86227851002;2.82518325912764;14.80105606663;196.591736705575;394.036674621983;741.870957585791;5625.00723171465;8477.41178652686;0;0;0;0;572.150069497927;23795.4716652464
Solid_fuels;0;3450.21888614144;630.441340421373;149.353833553614;1760.66618764517;2295.78881862012;0.366981654354947;137.827264122287;110.343367034058;167.912909539239;15.8985676061328;36.0373029688793;11.8288775594923;5.38424436851335;300.661682298323;44.2594467972608;0;0;0;10.6595834873368;96.5481267039656;0.361963074370276;157.069786057091;37.710506276514;0;0;0;0;4172.16915446873;3251.83276748852
Elec_heating;22.1859248087532;302.624888118434;35.0262181078356;0;829.370593213716;122.387620211772;680.71057724762;353.78387154898;259.281443965422;2268.96220658745;734.687818211085;615.14365942494;316.609427539266;153.824271768711;1939.30911022574;1264.46295997025;1925.67136179182;12.2116904819621;0;609.460234785751;823.420848835913;402.929985658721;14352.8231313975;21424.7440611501;0;0;-2839.69491550659;0;53375.0083144474;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22979.1185869006;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29455.5464883347;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6047.30532181947;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27915.2113243696;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111174.369246002;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22797.0699084289;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177931.921567907;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70677.1703134025;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31338.8684958845;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163554.863970288;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257611.081169737;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113080.830828584;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35055.1983503851;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28665.3242836004;0
AgriForest_Fish;0;0;0;1983.55383407037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95842.6685425814;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410843.653449291;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;393607.261118165;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2899953.19077019;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
